,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
code002,ASDIV,0.099,0.090,0.095,0.205,0.190,0.150,0.159,0.120
code002,CLUTRR,0.288,0.369,0.327,0.296,0.536,0.506,0.330,0.232
code002,GSM8K,0.189,0.158,0.177,0.252,0.377,0.262,0.248,0.188
code002,DATE,0.174,0.159,0.162,0.210,0.251,0.219,0.191,0.197
code002,MULTIARITH,0.103,0.085,0.089,0.187,0.162,0.135,0.106,0.117
code002,SAYCAN,0.175,0.115,0.152,0.243,0.159,0.145,0.135,0.190
code002,SPORT,0.071,0.068,0.062,0.346,0.075,0.067,0.103,0.200
code002,STRATEGYQA,0.353,0.213,0.256,0.305,0.316,0.257,0.271,0.220
code002,SVAMP,0.126,0.103,0.114,0.193,0.173,0.139,0.145,0.148
code002,average,0.175,0.151,0.159,0.249,0.249,0.209,0.188,0.179
gpt-3.5-turbo,ASDIV,0.194,0.224,0.194,0.223,0.213,nan,nan,nan
gpt-3.5-turbo,CLUTRR,0.429,0.482,0.465,0.450,0.509,nan,nan,nan
gpt-3.5-turbo,GSM8K,0.184,0.196,0.183,0.260,0.338,nan,nan,nan
gpt-3.5-turbo,DATE,0.266,0.292,0.280,0.316,0.348,nan,nan,nan
gpt-3.5-turbo,MULTIARITH,0.044,0.041,0.039,0.101,0.065,nan,nan,nan
gpt-3.5-turbo,SAYCAN,0.137,0.126,0.126,0.267,0.341,nan,nan,nan
gpt-3.5-turbo,SPORT,0.089,0.101,0.095,0.326,0.151,nan,nan,nan
gpt-3.5-turbo,STRATEGYQA,0.393,0.411,0.376,0.329,0.342,nan,nan,nan
gpt-3.5-turbo,SVAMP,0.108,0.115,0.108,0.164,0.155,nan,nan,nan
gpt-3.5-turbo,average,0.205,0.221,0.207,0.271,0.273,nan,nan,nan
gpt4,ASDIV,0.090,0.103,0.090,0.091,0.095,nan,nan,nan
gpt4,CLUTRR,0.392,0.443,0.416,0.386,0.435,nan,nan,nan
gpt4,GSM8K,0.083,0.099,0.087,0.132,0.144,nan,nan,nan
gpt4,DATE,0.063,0.069,0.061,0.073,0.076,nan,nan,nan
gpt4,MULTIARITH,0.013,0.010,0.011,0.015,0.013,nan,nan,nan
gpt4,SAYCAN,0.092,0.065,0.079,0.279,0.481,nan,nan,nan
gpt4,SPORT,0.033,0.031,0.031,0.160,0.100,nan,nan,nan
gpt4,STRATEGYQA,0.230,0.205,0.207,0.195,0.220,nan,nan,nan
gpt4,SVAMP,0.047,0.050,0.047,0.058,0.063,nan,nan,nan
gpt4,average,0.116,0.119,0.114,0.154,0.181,nan,nan,nan
llama-7B,ASDIV,0.164,0.155,0.158,nan,nan,0.411,nan,nan
