,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
code002,ASDIV,0.081,0.054,0.067,0.205,0.190,0.112,0.125,0.082
code002,CLUTRR,0.228,0.368,0.294,0.214,0.536,0.512,0.313,0.175
code002,GSM8K,0.195,0.110,0.163,0.232,0.377,0.227,0.235,0.136
code002,DATE,0.146,0.115,0.115,0.179,0.251,0.202,0.139,0.153
code002,MULTIARITH,0.121,0.085,0.093,0.291,0.162,0.192,0.105,0.095
code002,SAYCAN,0.203,0.101,0.159,0.322,0.159,0.106,0.117,0.248
code002,SPORT,0.066,0.059,0.051,0.422,0.075,0.067,0.144,0.251
code002,STRATEGYQA,0.351,0.096,0.190,0.214,0.316,0.186,0.208,0.097
code002,SVAMP,0.131,0.060,0.093,0.220,0.173,0.093,0.101,0.120
code002,average,0.169,0.117,0.136,0.256,0.249,0.189,0.165,0.151
gpt-3.5-turbo,ASDIV,0.182,0.212,0.182,0.229,0.213,nan,nan,nan
gpt-3.5-turbo,CLUTRR,0.426,0.505,0.471,0.449,0.519,nan,nan,nan
gpt-3.5-turbo,GSM8K,0.154,0.145,0.147,0.249,0.338,nan,nan,nan
gpt-3.5-turbo,DATE,0.237,0.274,0.265,0.299,0.348,nan,nan,nan
gpt-3.5-turbo,MULTIARITH,0.046,0.037,0.038,0.179,0.065,nan,nan,nan
gpt-3.5-turbo,SAYCAN,0.154,0.119,0.128,0.351,0.357,nan,nan,nan
gpt-3.5-turbo,SPORT,0.085,0.101,0.093,0.384,0.152,nan,nan,nan
gpt-3.5-turbo,STRATEGYQA,0.367,0.364,0.341,0.281,0.331,nan,nan,nan
gpt-3.5-turbo,SVAMP,0.090,0.092,0.092,0.176,0.155,nan,nan,nan
gpt-3.5-turbo,average,0.193,0.205,0.195,0.289,0.275,nan,nan,nan
gpt4,ASDIV,0.081,0.099,0.084,0.049,0.095,nan,nan,nan
gpt4,CLUTRR,0.387,0.454,0.415,0.381,0.435,nan,nan,nan
gpt4,GSM8K,0.085,0.101,0.081,0.103,0.144,nan,nan,nan
gpt4,DATE,0.069,0.070,0.064,0.045,0.077,nan,nan,nan
gpt4,MULTIARITH,0.014,0.010,0.011,0.043,0.013,nan,nan,nan
gpt4,SAYCAN,0.109,0.061,0.084,0.351,0.484,nan,nan,nan
gpt4,SPORT,0.034,0.031,0.031,0.236,0.099,nan,nan,nan
gpt4,STRATEGYQA,0.210,0.165,0.176,0.135,0.202,nan,nan,nan
gpt4,SVAMP,0.043,0.046,0.044,0.018,0.063,nan,nan,nan
gpt4,average,0.114,0.115,0.110,0.151,0.179,nan,nan,nan
llama-7B,ASDIV,0.102,0.088,0.094,nan,nan,0.417,nan,nan
llama-7B,CLUTRR,0.214,0.359,0.267,nan,nan,0.641,nan,nan
llama-7B,GSM8K,0.082,0.157,0.094,nan,nan,0.755,nan,nan
llama-7B,DATE,0.111,0.247,0.172,nan,nan,0.532,nan,nan
llama-7B,MULTIARITH,0.233,0.192,0.238,nan,nan,0.557,nan,nan
llama-7B,SAYCAN,0.256,0.164,0.259,nan,nan,0.302,nan,nan
llama-7B,SPORT,0.239,0.175,0.205,nan,nan,0.268,nan,nan
llama-7B,STRATEGYQA,0.361,0.146,0.214,nan,nan,0.400,nan,nan
llama-7B,SVAMP,0.133,0.082,0.139,nan,nan,0.463,nan,nan
llama-7B,average,0.192,0.179,0.187,nan,nan,0.482,nan,nan
llama-13B,ASDIV,0.106,0.085,0.090,nan,nan,0.334,nan,nan
llama-13B,CLUTRR,0.239,0.334,0.268,nan,nan,0.602,nan,nan
llama-13B,GSM8K,0.114,0.107,0.122,nan,nan,0.619,nan,nan
llama-13B,DATE,0.108,0.182,0.116,nan,nan,0.406,nan,nan
llama-13B,MULTIARITH,0.262,0.205,0.252,nan,nan,0.392,nan,nan
llama-13B,SAYCAN,0.205,0.147,0.217,nan,nan,0.244,nan,nan
llama-13B,SPORT,0.146,0.128,0.117,nan,nan,0.191,nan,nan
llama-13B,STRATEGYQA,0.367,0.116,0.212,nan,nan,0.360,nan,nan
llama-13B,SVAMP,0.155,0.072,0.138,nan,nan,0.365,nan,nan
llama-13B,average,0.189,0.153,0.170,nan,nan,0.391,nan,nan
llama-70B,ASDIV,0.087,0.054,0.069,nan,nan,0.199,nan,nan
llama-70B,CLUTRR,0.223,0.333,0.257,nan,nan,0.539,nan,nan
llama-70B,GSM8K,0.199,0.100,0.163,nan,nan,0.377,nan,nan
llama-70B,DATE,0.126,0.137,0.129,nan,nan,0.262,nan,nan
llama-70B,MULTIARITH,0.177,0.113,0.135,nan,nan,0.185,nan,nan
llama-70B,SAYCAN,0.229,0.156,0.207,nan,nan,0.172,nan,nan
llama-70B,SPORT,0.051,0.032,0.039,nan,nan,0.042,nan,nan
llama-70B,STRATEGYQA,0.346,0.075,0.183,nan,nan,0.275,nan,nan
llama-70B,SVAMP,0.150,0.066,0.113,nan,nan,0.171,nan,nan
llama-70B,average,0.176,0.118,0.144,nan,nan,0.247,nan,nan
mistral-7B,ASDIV,0.094,0.072,0.071,nan,nan,0.265,nan,nan
mistral-7B,CLUTRR,0.207,0.295,0.245,nan,nan,0.561,nan,nan
mistral-7B,GSM8K,0.167,0.117,0.155,nan,nan,0.507,nan,nan
mistral-7B,DATE,0.089,0.179,0.134,nan,nan,0.377,nan,nan
mistral-7B,MULTIARITH,0.234,0.178,0.195,nan,nan,0.313,nan,nan
mistral-7B,SAYCAN,0.260,0.194,0.231,nan,nan,0.198,nan,nan
mistral-7B,SPORT,0.112,0.058,0.063,nan,nan,0.104,nan,nan
mistral-7B,STRATEGYQA,0.351,0.124,0.207,nan,nan,0.331,nan,nan
mistral-7B,SVAMP,0.163,0.075,0.131,nan,nan,0.242,nan,nan
mistral-7B,average,0.186,0.144,0.159,nan,nan,0.322,nan,nan
mistral-7B-instruct,ASDIV,0.096,0.085,0.074,nan,nan,0.284,nan,nan
mistral-7B-instruct,CLUTRR,0.238,0.402,0.310,nan,nan,0.659,nan,nan
mistral-7B-instruct,GSM8K,0.145,0.113,0.128,nan,nan,0.530,nan,nan
mistral-7B-instruct,DATE,0.150,0.219,0.183,nan,nan,0.504,nan,nan
mistral-7B-instruct,MULTIARITH,0.231,0.153,0.195,nan,nan,0.314,nan,nan
mistral-7B-instruct,SAYCAN,0.203,0.155,0.212,nan,nan,0.328,nan,nan
mistral-7B-instruct,SPORT,0.179,0.170,0.165,nan,nan,0.204,nan,nan
mistral-7B-instruct,STRATEGYQA,0.287,0.183,0.211,nan,nan,0.356,nan,nan
mistral-7B-instruct,SVAMP,0.145,0.082,0.112,nan,nan,0.268,nan,nan
mistral-7B-instruct,average,0.186,0.174,0.177,nan,nan,0.383,nan,nan
