,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
code002,MWP,0.132,0.077,0.104,0.237,0.225,0.156,0.142,0.108
code002,MHQA,0.188,0.090,0.119,0.272,0.214,0.152,0.164,0.167
code002,Plan.,0.203,0.101,0.159,0.322,0.159,0.106,0.117,0.248
code002,Relation.,0.228,0.368,0.294,0.214,0.536,0.512,0.313,0.175
code002,average,0.169,0.117,0.136,0.256,0.249,0.189,0.165,0.151
gpt-3.5-turbo,MWP,0.118,0.121,0.115,0.208,0.193,nan,nan,nan
gpt-3.5-turbo,MHQA,0.230,0.246,0.233,0.321,0.277,nan,nan,nan
gpt-3.5-turbo,Plan.,0.154,0.119,0.128,0.351,0.357,nan,nan,nan
gpt-3.5-turbo,Relation.,0.426,0.505,0.471,0.449,0.519,nan,nan,nan
gpt-3.5-turbo,average,0.193,0.205,0.195,0.289,0.275,nan,nan,nan
gpt4,MWP,0.056,0.064,0.055,0.053,0.079,nan,nan,nan
gpt4,MHQA,0.104,0.089,0.090,0.139,0.126,nan,nan,nan
gpt4,Plan.,0.109,0.061,0.084,0.351,0.484,nan,nan,nan
gpt4,Relation.,0.387,0.454,0.415,0.381,0.435,nan,nan,nan
gpt4,average,0.114,0.115,0.110,0.151,0.179,nan,nan,nan
llama-7B,MWP,0.138,0.130,0.141,nan,nan,0.548,nan,nan
llama-7B,MHQA,0.237,0.189,0.197,nan,nan,0.400,nan,nan
llama-7B,Plan.,0.256,0.164,0.259,nan,nan,0.302,nan,nan
llama-7B,Relation.,0.214,0.359,0.267,nan,nan,0.641,nan,nan
llama-7B,average,0.192,0.179,0.187,nan,nan,0.482,nan,nan
llama-13B,MWP,0.159,0.117,0.151,nan,nan,0.428,nan,nan
llama-13B,MHQA,0.207,0.142,0.149,nan,nan,0.319,nan,nan
llama-13B,Plan.,0.205,0.147,0.217,nan,nan,0.244,nan,nan
llama-13B,Relation.,0.239,0.334,0.268,nan,nan,0.602,nan,nan
llama-13B,average,0.189,0.153,0.170,nan,nan,0.391,nan,nan
llama-70B,MWP,0.153,0.083,0.120,nan,nan,0.233,nan,nan
llama-70B,MHQA,0.174,0.082,0.117,nan,nan,0.193,nan,nan
llama-70B,Plan.,0.229,0.156,0.207,nan,nan,0.172,nan,nan
llama-70B,Relation.,0.223,0.333,0.257,nan,nan,0.539,nan,nan
llama-70B,average,0.176,0.118,0.144,nan,nan,0.247,nan,nan
mistral-7B,MWP,0.165,0.111,0.138,nan,nan,0.331,nan,nan
mistral-7B,MHQA,0.184,0.120,0.135,nan,nan,0.271,nan,nan
mistral-7B,Plan.,0.260,0.194,0.231,nan,nan,0.198,nan,nan
mistral-7B,Relation.,0.207,0.295,0.245,nan,nan,0.561,nan,nan
mistral-7B,average,0.186,0.144,0.159,nan,nan,0.322,nan,nan
mistral-7B-it,MWP,0.154,0.108,0.127,nan,nan,0.349,nan,nan
mistral-7B-it,MHQA,0.205,0.191,0.186,nan,nan,0.355,nan,nan
mistral-7B-it,Plan.,0.203,0.155,0.212,nan,nan,0.328,nan,nan
mistral-7B-it,Relation.,0.238,0.402,0.310,nan,nan,0.659,nan,nan
mistral-7B-it,average,0.186,0.174,0.177,nan,nan,0.383,nan,nan
olmo-7B,MWP,0.110,0.091,0.121,nan,nan,0.609,nan,nan
olmo-7B,MHQA,0.288,0.137,0.209,nan,nan,0.446,nan,nan
olmo-7B,Plan.,0.376,0.306,0.405,nan,nan,0.513,nan,nan
olmo-7B,Relation.,0.095,0.231,0.163,nan,nan,0.686,nan,nan
olmo-7B,average,0.197,0.146,0.186,nan,nan,0.553,nan,nan
olmo-7B-it,MWP,0.225,0.156,0.211,nan,nan,0.491,nan,nan
olmo-7B-it,MHQA,0.226,0.188,0.176,nan,nan,0.402,nan,nan
olmo-7B-it,Plan.,0.296,0.277,0.320,nan,nan,0.523,nan,nan
olmo-7B-it,Relation.,0.183,0.375,0.275,nan,nan,0.710,nan,nan
olmo-7B-it,average,0.228,0.204,0.219,nan,nan,0.489,nan,nan
olmo-7B-it-rl,MWP,0.219,0.177,0.207,nan,nan,0.574,nan,nan
olmo-7B-it-rl,MHQA,0.210,0.209,0.184,nan,nan,0.396,nan,nan
olmo-7B-it-rl,Plan.,0.302,0.283,0.313,nan,nan,0.581,nan,nan
olmo-7B-it-rl,Relation.,0.285,0.480,0.368,nan,nan,0.760,nan,nan
olmo-7B-it-rl,average,0.233,0.233,0.229,nan,nan,0.536,nan,nan
