Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.136,0.03,0.05,0.026,0.026
ece,CLUTRR,0.429,0.372,0.41,0.391,0.236
ece,GSM8K,0.292,0.081,0.044,0.061,0.07
ece,DATE,0.322,0.066,0.059,0.09,0.04
ece,MULTIARITH,0.283,0.043,0.039,0.029,0.029
ece,SAYCAN,0.093,0.092,0.079,0.152,0.09
ece,SPORT,0.184,0.007,0.005,0.089,0.009
ece,STRATEGYQA,0.136,0.072,0.034,0.188,0.05
ece,SVAMP,0.151,0.034,0.05,0.034,0.033
ece,average,0.225,0.089,0.086,0.118,0.065
brier,ASDIV,0.132,0.071,0.089,0.08,0.077
brier,CLUTRR,0.413,0.365,0.405,0.396,0.265
brier,GSM8K,0.233,0.142,0.191,0.112,0.112
brier,DATE,0.32,0.119,0.125,0.127,0.106
brier,MULTIARITH,0.274,0.012,0.115,0.009,0.013
brier,SAYCAN,0.124,0.095,0.133,0.141,0.084
brier,SPORT,0.225,0.012,0.004,0.09,0.01
brier,STRATEGYQA,0.24,0.164,0.156,0.289,0.214
brier,SVAMP,0.159,0.094,0.091,0.091,0.081
brier,average,0.236,0.119,0.145,0.148,0.107
