Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.057,0.124,0.059,0.086,0.079
ece,CLUTRR,0.268,0.208,0.279,0.242,0.141
ece,GSM8K,0.11,0.263,0.153,0.22,0.228
ece,DATE,0.19,0.138,0.134,0.112,0.157
ece,MULTIARITH,0.106,0.141,0.168,0.092,0.099
ece,SAYCAN,0.239,0.244,0.237,0.163,0.131
ece,SPORT,0.207,0.024,0.019,0.063,0.017
ece,STRATEGYQA,0.329,0.296,0.36,0.318,0.454
ece,SVAMP,0.087,0.186,0.088,0.143,0.149
ece,average,0.177,0.18,0.166,0.16,0.162
brier,ASDIV,0.107,0.107,0.096,0.097,0.09
brier,CLUTRR,0.312,0.272,0.321,0.3,0.234
brier,GSM8K,0.158,0.218,0.22,0.174,0.177
brier,DATE,0.254,0.156,0.16,0.153,0.145
brier,MULTIARITH,0.2,0.061,0.166,0.041,0.045
brier,SAYCAN,0.215,0.186,0.216,0.148,0.111
brier,SPORT,0.248,0.019,0.014,0.061,0.015
brier,STRATEGYQA,0.35,0.282,0.321,0.372,0.442
brier,SVAMP,0.135,0.148,0.103,0.125,0.12
brier,average,0.22,0.161,0.18,0.163,0.153
