Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.089,0.083,0.048,0.064,0.049
ece,CLUTRR,0.35,0.285,0.349,0.31,0.177
ece,GSM8K,0.148,0.199,0.142,0.157,0.169
ece,DATE,0.258,0.072,0.055,0.114,0.074
ece,MULTIARITH,0.172,0.076,0.116,0.049,0.052
ece,SAYCAN,0.18,0.196,0.169,0.145,0.105
ece,SPORT,0.177,0.01,0.011,0.045,0.011
ece,STRATEGYQA,0.159,0.135,0.17,0.223,0.265
ece,SVAMP,0.109,0.117,0.059,0.09,0.089
ece,average,0.182,0.13,0.124,0.133,0.11
brier,ASDIV,0.115,0.09,0.094,0.092,0.083
brier,CLUTRR,0.362,0.314,0.364,0.351,0.242
brier,GSM8K,0.179,0.19,0.215,0.148,0.151
brier,DATE,0.283,0.129,0.131,0.145,0.121
brier,MULTIARITH,0.227,0.03,0.144,0.02,0.023
brier,SAYCAN,0.183,0.15,0.183,0.148,0.095
brier,SPORT,0.226,0.013,0.008,0.052,0.011
brier,STRATEGYQA,0.263,0.199,0.206,0.309,0.305
brier,SVAMP,0.143,0.124,0.095,0.109,0.1
brier,average,0.22,0.138,0.16,0.153,0.126
