,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.124,0.03,0.083,0.207,0.141,0.103,0.05,0.056
ece,CLUTRR,0.208,0.372,0.285,0.445,0.544,0.514,0.3,0.133
ece,GSM8K,0.263,0.081,0.199,0.176,0.226,0.031,0.104,0.137
ece,DATE,0.138,0.066,0.072,0.13,0.22,0.139,0.086,0.258
ece,MULTIARITH,0.141,0.043,0.076,0.343,0.005,0.233,0.164,0.046
ece,SAYCAN,0.244,0.092,0.196,0.376,0.165,0.081,0.074,0.384
ece,SPORT,0.024,0.007,0.01,0.491,0.027,0.046,0.371,0.377
ece,STRATEGYQA,0.296,0.072,0.135,0.284,0.231,0.039,0.146,0.032
ece,SVAMP,0.186,0.034,0.117,0.221,0.153,0.081,0.058,0.095
ece,average,0.18,0.089,0.13,0.297,0.19,0.141,0.15,0.169
brier,ASDIV,0.107,0.071,0.09,0.173,0.141,0.123,0.117,0.094
brier,CLUTRR,0.272,0.365,0.314,0.447,0.544,0.51,0.347,0.248
brier,GSM8K,0.218,0.142,0.19,0.219,0.226,0.169,0.178,0.187
brier,DATE,0.156,0.119,0.129,0.192,0.22,0.185,0.184,0.238
brier,MULTIARITH,0.061,0.012,0.03,0.15,0.005,0.062,0.037,0.016
brier,SAYCAN,0.186,0.095,0.15,0.285,0.165,0.141,0.147,0.276
brier,SPORT,0.019,0.012,0.013,0.347,0.027,0.018,0.167,0.316
brier,STRATEGYQA,0.282,0.164,0.199,0.328,0.231,0.181,0.212,0.173
brier,SVAMP,0.148,0.094,0.124,0.179,0.153,0.131,0.122,0.132
brier,average,0.161,0.119,0.138,0.258,0.19,0.169,0.168,0.187
