,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.059,0.05,0.048,0.154,0.202,0.115,0.156,0.094
ece,CLUTRR,0.279,0.41,0.349,0.212,0.541,0.53,0.375,0.23
ece,GSM8K,0.153,0.044,0.142,0.203,0.509,0.397,0.464,0.141
ece,DATE,0.134,0.059,0.055,0.156,0.209,0.161,0.149,0.251
ece,MULTIARITH,0.168,0.039,0.116,0.154,0.218,0.133,0.182,0.054
ece,SAYCAN,0.237,0.079,0.169,0.318,0.243,0.209,0.131,0.249
ece,SPORT,0.019,0.005,0.011,0.56,0.003,0.026,0.056,0.19
ece,STRATEGYQA,0.36,0.034,0.17,0.253,0.227,0.067,0.094,0.097
ece,SVAMP,0.088,0.05,0.059,0.179,0.166,0.097,0.122,0.112
ece,average,0.166,0.086,0.124,0.243,0.258,0.193,0.192,0.158
brier,ASDIV,0.096,0.089,0.094,0.184,0.202,0.161,0.171,0.125
brier,CLUTRR,0.321,0.405,0.364,0.292,0.541,0.528,0.395,0.286
brier,GSM8K,0.22,0.191,0.215,0.3,0.509,0.402,0.46,0.246
brier,DATE,0.16,0.125,0.131,0.19,0.209,0.184,0.189,0.23
brier,MULTIARITH,0.166,0.115,0.144,0.195,0.218,0.184,0.204,0.172
brier,SAYCAN,0.216,0.133,0.183,0.28,0.243,0.226,0.203,0.227
brier,SPORT,0.014,0.004,0.008,0.389,0.003,0.004,0.009,0.105
brier,STRATEGYQA,0.321,0.156,0.206,0.3,0.227,0.182,0.187,0.19
brier,SVAMP,0.103,0.091,0.095,0.17,0.166,0.142,0.145,0.135
brier,average,0.18,0.145,0.16,0.256,0.258,0.224,0.218,0.191
