,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.079,0.026,0.049,0.215,0.176,0.112,0.171,0.105
ece,CLUTRR,0.141,0.236,0.177,0.044,0.416,0.406,0.367,0.135
ece,GSM8K,0.228,0.07,0.169,0.194,0.173,0.1,0.167,0.095
ece,DATE,0.157,0.04,0.074,0.197,0.153,0.131,0.153,0.08
ece,MULTIARITH,0.099,0.029,0.052,0.338,0.01,0.06,0.007,0.035
ece,SAYCAN,0.131,0.09,0.105,0.263,0.097,0.017,0.082,0.121
ece,SPORT,0.017,0.009,0.011,0.468,0.014,0.004,0.173,0.277
ece,STRATEGYQA,0.454,0.05,0.265,0.159,0.326,0.226,0.301,0.135
ece,SVAMP,0.149,0.033,0.089,0.244,0.116,0.056,0.109,0.083
ece,average,0.162,0.065,0.11,0.236,0.165,0.124,0.17,0.118
brier,ASDIV,0.09,0.077,0.083,0.186,0.176,0.154,0.169,0.11
brier,CLUTRR,0.234,0.265,0.242,0.23,0.416,0.405,0.33,0.165
brier,GSM8K,0.177,0.112,0.151,0.176,0.173,0.151,0.168,0.138
brier,DATE,0.145,0.106,0.121,0.168,0.153,0.144,0.153,0.136
brier,MULTIARITH,0.045,0.013,0.023,0.125,0.01,0.014,0.01,0.028
brier,SAYCAN,0.111,0.084,0.095,0.163,0.097,0.089,0.065,0.071
brier,SPORT,0.015,0.01,0.011,0.447,0.014,0.014,0.077,0.172
brier,STRATEGYQA,0.442,0.214,0.305,0.306,0.326,0.27,0.311,0.243
brier,SVAMP,0.12,0.081,0.1,0.157,0.116,0.105,0.11,0.1
brier,average,0.153,0.107,0.126,0.218,0.165,0.15,0.155,0.129
