,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.086,0.026,0.064,0.225,0.158,0.049,0.075,0.045
ece,CLUTRR,0.242,0.391,0.31,0.035,0.588,0.562,0.391,0.13
ece,GSM8K,0.22,0.061,0.157,0.218,0.18,0.058,0.097,0.118
ece,DATE,0.112,0.09,0.114,0.215,0.173,0.147,0.155,0.118
ece,MULTIARITH,0.092,0.029,0.049,0.359,0.005,0.1,0.06,0.1
ece,SAYCAN,0.163,0.152,0.145,0.258,0.117,0.078,0.11,0.138
ece,SPORT,0.063,0.089,0.045,0.406,0.053,0.053,0.038,0.278
ece,STRATEGYQA,0.318,0.188,0.223,0.156,0.428,0.299,0.39,0.107
ece,SVAMP,0.143,0.034,0.09,0.241,0.13,0.031,0.057,0.091
ece,average,0.16,0.118,0.133,0.235,0.204,0.153,0.153,0.125
brier,ASDIV,0.097,0.08,0.092,0.19,0.158,0.131,0.106,0.085
brier,CLUTRR,0.3,0.396,0.351,0.158,0.588,0.552,0.318,0.165
brier,GSM8K,0.174,0.112,0.148,0.211,0.18,0.146,0.151,0.166
brier,DATE,0.153,0.127,0.145,0.22,0.173,0.16,0.166,0.162
brier,MULTIARITH,0.041,0.009,0.02,0.142,0.005,0.016,0.015,0.046
brier,SAYCAN,0.148,0.141,0.148,0.148,0.117,0.106,0.09,0.129
brier,SPORT,0.061,0.09,0.052,0.289,0.053,0.06,0.053,0.204
brier,STRATEGYQA,0.372,0.289,0.309,0.289,0.428,0.335,0.394,0.25
brier,SVAMP,0.125,0.091,0.109,0.181,0.13,0.113,0.111,0.117
brier,average,0.163,0.148,0.153,0.203,0.204,0.18,0.156,0.147
