,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.057,0.136,0.089,0.222,0.271,0.182,0.175,0.112
ece,CLUTRR,0.268,0.429,0.35,0.335,0.592,0.548,0.132,0.249
ece,GSM8K,0.11,0.292,0.148,0.37,0.799,0.55,0.342,0.19
ece,DATE,0.19,0.322,0.258,0.196,0.501,0.434,0.153,0.056
ece,MULTIARITH,0.106,0.283,0.172,0.263,0.57,0.432,0.11,0.242
ece,SAYCAN,0.239,0.093,0.18,0.395,0.175,0.144,0.189,0.347
ece,SPORT,0.207,0.184,0.177,0.185,0.28,0.205,0.082,0.134
ece,STRATEGYQA,0.329,0.136,0.159,0.22,0.367,0.298,0.11,0.112
ece,SVAMP,0.087,0.151,0.109,0.215,0.301,0.198,0.16,0.221
ece,average,0.177,0.225,0.182,0.267,0.428,0.332,0.161,0.185
brier,ASDIV,0.107,0.132,0.115,0.291,0.271,0.181,0.23,0.187
brier,CLUTRR,0.312,0.413,0.362,0.351,0.592,0.535,0.26,0.296
brier,GSM8K,0.158,0.233,0.179,0.354,0.799,0.441,0.283,0.201
brier,DATE,0.254,0.32,0.283,0.278,0.501,0.42,0.265,0.218
brier,MULTIARITH,0.2,0.274,0.227,0.324,0.57,0.399,0.265,0.323
brier,SAYCAN,0.215,0.124,0.183,0.339,0.175,0.161,0.171,0.249
brier,SPORT,0.248,0.225,0.226,0.258,0.28,0.239,0.209,0.205
brier,STRATEGYQA,0.35,0.24,0.263,0.302,0.367,0.317,0.253,0.242
brier,SVAMP,0.135,0.159,0.143,0.28,0.301,0.202,0.237,0.255
brier,average,0.22,0.236,0.22,0.309,0.428,0.322,0.241,0.242
