Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.377,0.259,0.216,0.133,0.075
ece,CLUTRR,0.526,0.484,0.473,0.662,0.379
ece,GSM8K,0.388,0.128,0.063,0.092,0.055
ece,DATE,0.386,0.276,0.269,0.255,0.186
ece,MULTIARITH,0.105,0.015,0.007,0.035,0.022
ece,SAYCAN,0.108,0.072,0.088,0.171,0.157
ece,SPORT,0.152,0.006,0.011,0.029,0.305
ece,STRATEGYQA,0.533,0.482,0.32,0.332,0.151
ece,SVAMP,0.16,0.063,0.074,0.097,0.064
ece,average,0.304,0.198,0.169,0.201,0.155
brier,ASDIV,0.394,0.258,0.228,0.154,0.087
brier,CLUTRR,0.514,0.492,0.465,0.57,0.368
brier,GSM8K,0.429,0.173,0.137,0.136,0.106
brier,DATE,0.383,0.301,0.303,0.26,0.211
brier,MULTIARITH,0.121,0.011,0.013,0.04,0.02
brier,SAYCAN,0.14,0.066,0.117,0.165,0.141
brier,SPORT,0.153,0.006,0.011,0.031,0.305
brier,STRATEGYQA,0.559,0.505,0.351,0.378,0.263
brier,SVAMP,0.177,0.113,0.089,0.11,0.087
brier,average,0.319,0.214,0.19,0.205,0.176
