Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.353,0.195,0.169,0.13,0.062
ece,CLUTRR,0.494,0.501,0.393,0.513,0.23
ece,GSM8K,0.313,0.119,0.139,0.101,0.099
ece,DATE,0.343,0.207,0.232,0.23,0.175
ece,MULTIARITH,0.099,0.015,0.042,0.032,0.043
ece,SAYCAN,0.147,0.225,0.158,0.129,0.109
ece,SPORT,0.142,0.006,0.009,0.027,0.242
ece,STRATEGYQA,0.491,0.413,0.264,0.329,0.34
ece,SVAMP,0.138,0.087,0.069,0.077,0.08
ece,average,0.28,0.196,0.164,0.174,0.153
brier,ASDIV,0.356,0.201,0.179,0.147,0.087
brier,CLUTRR,0.499,0.518,0.407,0.435,0.285
brier,GSM8K,0.36,0.139,0.166,0.139,0.118
brier,DATE,0.345,0.259,0.268,0.248,0.208
brier,MULTIARITH,0.106,0.014,0.029,0.037,0.034
brier,SAYCAN,0.146,0.175,0.134,0.124,0.107
brier,SPORT,0.147,0.005,0.009,0.028,0.255
brier,STRATEGYQA,0.498,0.427,0.283,0.378,0.377
brier,SVAMP,0.15,0.11,0.085,0.099,0.094
brier,average,0.29,0.205,0.173,0.182,0.174
