Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.357,0.193,0.166,0.131,0.062
ece,CLUTRR,0.523,0.527,0.432,0.578,0.296
ece,GSM8K,0.36,0.112,0.103,0.092,0.067
ece,DATE,0.364,0.258,0.257,0.256,0.191
ece,MULTIARITH,0.102,0.01,0.024,0.025,0.028
ece,SAYCAN,0.131,0.148,0.114,0.142,0.106
ece,SPORT,0.145,0.002,0.008,0.03,0.278
ece,STRATEGYQA,0.492,0.409,0.273,0.309,0.223
ece,SVAMP,0.154,0.08,0.069,0.083,0.075
ece,average,0.292,0.193,0.161,0.183,0.147
brier,ASDIV,0.359,0.202,0.178,0.145,0.086
brier,CLUTRR,0.521,0.532,0.442,0.51,0.319
brier,GSM8K,0.382,0.139,0.151,0.132,0.11
brier,DATE,0.371,0.276,0.288,0.256,0.209
brier,MULTIARITH,0.11,0.01,0.019,0.032,0.022
brier,SAYCAN,0.143,0.119,0.129,0.129,0.108
brier,SPORT,0.148,0.004,0.009,0.03,0.284
brier,STRATEGYQA,0.498,0.427,0.287,0.369,0.297
brier,SVAMP,0.159,0.103,0.086,0.101,0.091
brier,average,0.299,0.201,0.177,0.189,0.17
