,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.195,0.259,0.193,0.223,0.214,,,
ece,CLUTRR,0.501,0.484,0.527,0.365,0.604,,,
ece,GSM8K,0.119,0.128,0.112,0.216,0.27,,,
ece,DATE,0.207,0.276,0.258,0.302,0.357,,,
ece,MULTIARITH,0.015,0.015,0.01,0.262,0.005,,,
ece,SAYCAN,0.225,0.072,0.148,0.331,0.173,,,
ece,SPORT,0.006,0.006,0.002,0.194,0.014,,,
ece,STRATEGYQA,0.413,0.482,0.409,0.347,0.367,,,
ece,SVAMP,0.087,0.063,0.08,0.22,0.143,,,
ece,average,0.196,0.198,0.193,0.273,0.239,,,
brier,ASDIV,0.201,0.258,0.202,0.212,0.214,,,
brier,CLUTRR,0.518,0.492,0.532,0.375,0.599,,,
brier,GSM8K,0.139,0.173,0.139,0.204,0.27,,,
brier,DATE,0.259,0.301,0.276,0.317,0.357,,,
brier,MULTIARITH,0.014,0.011,0.01,0.104,0.005,,,
brier,SAYCAN,0.175,0.066,0.119,0.239,0.176,,,
brier,SPORT,0.005,0.006,0.004,0.113,0.01,,,
brier,STRATEGYQA,0.427,0.505,0.427,0.37,0.386,,,
brier,SVAMP,0.11,0.113,0.103,0.173,0.143,,,
brier,average,0.205,0.214,0.201,0.234,0.24,,,
