,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.169,0.216,0.166,0.219,0.226,,,
ece,CLUTRR,0.393,0.473,0.432,0.425,0.518,,,
ece,GSM8K,0.139,0.063,0.103,0.2,0.452,,,
ece,DATE,0.232,0.269,0.257,0.34,0.401,,,
ece,MULTIARITH,0.042,0.007,0.024,0.169,0.111,,,
ece,SAYCAN,0.158,0.088,0.114,0.311,0.263,,,
ece,SPORT,0.009,0.011,0.008,0.63,0.182,,,
ece,STRATEGYQA,0.264,0.32,0.273,0.267,0.247,,,
ece,SVAMP,0.069,0.074,0.069,0.191,0.166,,,
ece,average,0.164,0.169,0.161,0.306,0.285,,,
brier,ASDIV,0.179,0.228,0.178,0.208,0.226,,,
brier,CLUTRR,0.407,0.465,0.442,0.426,0.504,,,
brier,GSM8K,0.166,0.137,0.151,0.216,0.451,,,
brier,DATE,0.268,0.303,0.288,0.354,0.4,,,
brier,MULTIARITH,0.029,0.013,0.019,0.079,0.111,,,
brier,SAYCAN,0.134,0.117,0.129,0.276,0.248,,,
brier,SPORT,0.009,0.011,0.009,0.508,0.18,,,
brier,STRATEGYQA,0.283,0.351,0.287,0.312,0.262,,,
brier,SVAMP,0.085,0.089,0.086,0.156,0.166,,,
brier,average,0.173,0.19,0.177,0.282,0.283,,,
