,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.062,0.075,0.062,0.115,0.137,,,
ece,CLUTRR,0.23,0.379,0.296,0.401,0.374,,,
ece,GSM8K,0.099,0.055,0.067,0.156,0.241,,,
ece,DATE,0.175,0.186,0.191,0.222,0.242,,,
ece,MULTIARITH,0.043,0.022,0.028,0.076,0.018,,,
ece,SAYCAN,0.109,0.157,0.106,0.448,0.613,,,
ece,SPORT,0.242,0.305,0.278,0.35,0.365,,,
ece,STRATEGYQA,0.34,0.151,0.223,0.258,0.358,,,
ece,SVAMP,0.08,0.064,0.075,0.085,0.118,,,
ece,average,0.153,0.155,0.147,0.235,0.274,,,
brier,ASDIV,0.087,0.087,0.086,0.144,0.137,,,
brier,CLUTRR,0.285,0.368,0.319,0.418,0.352,,,
brier,GSM8K,0.118,0.106,0.11,0.183,0.241,,,
brier,DATE,0.208,0.211,0.209,0.244,0.242,,,
brier,MULTIARITH,0.034,0.02,0.022,0.048,0.018,,,
brier,SAYCAN,0.107,0.141,0.108,0.276,0.552,,,
brier,SPORT,0.255,0.305,0.284,0.34,0.365,,,
brier,STRATEGYQA,0.377,0.263,0.297,0.305,0.364,,,
brier,SVAMP,0.094,0.087,0.091,0.119,0.118,,,
brier,average,0.174,0.176,0.17,0.231,0.265,,,
