,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.13,0.133,0.131,0.245,0.17,,,
ece,CLUTRR,0.513,0.662,0.578,0.594,0.572,,,
ece,GSM8K,0.101,0.092,0.092,0.227,0.253,,,
ece,DATE,0.23,0.255,0.256,0.212,0.273,,,
ece,MULTIARITH,0.032,0.035,0.025,0.185,0.047,,,
ece,SAYCAN,0.129,0.171,0.142,0.386,0.589,,,
ece,SPORT,0.027,0.029,0.03,0.252,0.035,,,
ece,STRATEGYQA,0.329,0.332,0.309,0.259,0.435,,,
ece,SVAMP,0.077,0.097,0.083,0.166,0.149,,,
ece,average,0.174,0.201,0.183,0.281,0.28,,,
brier,ASDIV,0.147,0.154,0.145,0.202,0.169,,,
brier,CLUTRR,0.435,0.57,0.51,0.569,0.561,,,
brier,GSM8K,0.139,0.136,0.132,0.226,0.252,,,
brier,DATE,0.248,0.26,0.256,0.24,0.273,,,
brier,MULTIARITH,0.037,0.04,0.032,0.107,0.047,,,
brier,SAYCAN,0.124,0.165,0.129,0.292,0.555,,,
brier,SPORT,0.028,0.031,0.03,0.223,0.035,,,
brier,STRATEGYQA,0.378,0.378,0.369,0.331,0.443,,,
brier,SVAMP,0.099,0.11,0.101,0.159,0.149,,,
brier,average,0.182,0.205,0.189,0.261,0.276,,,
