,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.353,0.377,0.357,0.342,0.318,,,
ece,CLUTRR,0.494,0.526,0.523,0.459,0.529,,,
ece,GSM8K,0.313,0.388,0.36,0.445,0.474,,,
ece,DATE,0.343,0.386,0.364,0.417,0.468,,,
ece,MULTIARITH,0.099,0.105,0.102,0.202,0.143,,,
ece,SAYCAN,0.147,0.108,0.131,0.279,0.146,,,
ece,SPORT,0.142,0.152,0.145,0.495,0.164,,,
ece,STRATEGYQA,0.491,0.533,0.492,0.276,0.249,,,
ece,SVAMP,0.138,0.16,0.154,0.216,0.199,,,
ece,average,0.28,0.304,0.292,0.348,0.299,,,
brier,ASDIV,0.356,0.394,0.359,0.347,0.318,,,
brier,CLUTRR,0.499,0.514,0.521,0.461,0.53,,,
brier,GSM8K,0.36,0.429,0.382,0.47,0.474,,,
brier,DATE,0.345,0.383,0.371,0.423,0.468,,,
brier,MULTIARITH,0.106,0.121,0.11,0.168,0.143,,,
brier,SAYCAN,0.146,0.14,0.143,0.25,0.175,,,
brier,SPORT,0.147,0.153,0.148,0.446,0.167,,,
brier,STRATEGYQA,0.498,0.559,0.498,0.328,0.257,,,
brier,SVAMP,0.15,0.177,0.159,0.214,0.199,,,
brier,average,0.29,0.319,0.299,0.345,0.303,,,
