Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.21,0.147,0.045,0.053,0.038
ece,CLUTRR,0.457,0.403,0.412,0.784,0.212
ece,GSM8K,0.353,0.062,0.036,0.029,0.026
ece,DATE,0.166,0.087,0.038,0.034,0.023
ece,MULTIARITH,0.008,0.009,0.009,0.014,0.01
ece,SAYCAN,0.027,0.07,0.07,0.074,0.064
ece,SPORT,0.081,0.034,0.033,0.002,0.004
ece,STRATEGYQA,0.253,0.14,0.141,0.131,0.161
ece,SVAMP,0.071,0.043,0.037,0.044,0.035
ece,average,0.181,0.111,0.091,0.129,0.064
brier,ASDIV,0.214,0.14,0.053,0.058,0.05
brier,CLUTRR,0.449,0.389,0.397,0.757,0.222
brier,GSM8K,0.307,0.063,0.056,0.034,0.034
brier,DATE,0.154,0.085,0.049,0.034,0.022
brier,MULTIARITH,0.009,0.011,0.008,0.015,0.009
brier,SAYCAN,0.034,0.055,0.098,0.074,0.065
brier,SPORT,0.084,0.035,0.032,0.001,0.004
brier,STRATEGYQA,0.261,0.169,0.164,0.201,0.229
brier,SVAMP,0.072,0.055,0.04,0.047,0.035
brier,average,0.176,0.111,0.1,0.136,0.074
