Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.193,0.094,0.035,0.046,0.038
ece,CLUTRR,0.391,0.309,0.337,0.69,0.207
ece,GSM8K,0.233,0.056,0.062,0.042,0.034
ece,DATE,0.107,0.096,0.064,0.041,0.038
ece,MULTIARITH,0.01,0.011,0.02,0.015,0.014
ece,SAYCAN,0.082,0.2,0.115,0.072,0.075
ece,SPORT,0.086,0.039,0.028,0.005,0.01
ece,STRATEGYQA,0.254,0.163,0.152,0.247,0.232
ece,SVAMP,0.061,0.044,0.039,0.042,0.028
ece,average,0.157,0.112,0.095,0.133,0.075
brier,ASDIV,0.198,0.095,0.053,0.056,0.048
brier,CLUTRR,0.399,0.327,0.341,0.671,0.221
brier,GSM8K,0.219,0.053,0.066,0.042,0.036
brier,DATE,0.109,0.084,0.059,0.035,0.028
brier,MULTIARITH,0.01,0.011,0.017,0.014,0.012
brier,SAYCAN,0.059,0.151,0.115,0.065,0.068
brier,SPORT,0.087,0.037,0.027,0.003,0.009
brier,STRATEGYQA,0.258,0.176,0.161,0.273,0.281
brier,SVAMP,0.064,0.05,0.042,0.047,0.034
brier,average,0.156,0.109,0.098,0.134,0.082
