Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.198,0.094,0.044,0.046,0.038
ece,CLUTRR,0.423,0.354,0.365,0.729,0.205
ece,GSM8K,0.272,0.045,0.036,0.028,0.026
ece,DATE,0.134,0.079,0.049,0.038,0.02
ece,MULTIARITH,0.009,0.011,0.013,0.012,0.011
ece,SAYCAN,0.047,0.141,0.091,0.075,0.064
ece,SPORT,0.08,0.036,0.027,0.003,0.008
ece,STRATEGYQA,0.252,0.155,0.147,0.159,0.166
ece,SVAMP,0.066,0.041,0.036,0.044,0.034
ece,average,0.165,0.106,0.09,0.126,0.064
brier,ASDIV,0.199,0.095,0.054,0.055,0.048
brier,CLUTRR,0.426,0.356,0.366,0.713,0.218
brier,GSM8K,0.254,0.052,0.06,0.035,0.033
brier,DATE,0.129,0.071,0.05,0.035,0.022
brier,MULTIARITH,0.01,0.011,0.012,0.014,0.01
brier,SAYCAN,0.041,0.109,0.108,0.071,0.068
brier,SPORT,0.084,0.036,0.027,0.001,0.007
brier,STRATEGYQA,0.257,0.169,0.157,0.217,0.237
brier,SVAMP,0.068,0.047,0.041,0.046,0.035
brier,average,0.163,0.105,0.097,0.132,0.075
