,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.094,0.147,0.094,0.046,0.088,,,
ece,CLUTRR,0.309,0.403,0.354,0.44,0.473,,,
ece,GSM8K,0.056,0.062,0.045,0.006,0.048,,,
ece,DATE,0.096,0.087,0.079,0.021,0.065,,,
ece,MULTIARITH,0.011,0.009,0.011,0.04,0.01,,,
ece,SAYCAN,0.2,0.07,0.141,0.493,0.913,,,
ece,SPORT,0.039,0.034,0.036,0.12,0.038,,,
ece,STRATEGYQA,0.163,0.14,0.155,0.098,0.156,,,
ece,SVAMP,0.044,0.043,0.041,0.013,0.069,,,
ece,average,0.112,0.111,0.106,0.142,0.207,,,
brier,ASDIV,0.095,0.14,0.095,0.089,0.088,,,
brier,CLUTRR,0.327,0.389,0.356,0.443,0.477,,,
brier,GSM8K,0.053,0.063,0.052,0.045,0.047,,,
brier,DATE,0.084,0.085,0.071,0.066,0.064,,,
brier,MULTIARITH,0.011,0.011,0.011,0.012,0.01,,,
brier,SAYCAN,0.151,0.055,0.109,0.377,0.913,,,
brier,SPORT,0.037,0.035,0.036,0.08,0.039,,,
brier,STRATEGYQA,0.176,0.169,0.169,0.16,0.174,,,
brier,SVAMP,0.05,0.055,0.047,0.059,0.068,,,
brier,average,0.109,0.111,0.105,0.148,0.209,,,
