,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.035,0.045,0.044,0.03,0.079,,,
ece,CLUTRR,0.337,0.412,0.365,0.445,0.487,,,
ece,GSM8K,0.062,0.036,0.036,0.027,0.078,,,
ece,DATE,0.064,0.038,0.049,0.006,0.056,,,
ece,MULTIARITH,0.02,0.009,0.013,0.042,0.008,,,
ece,SAYCAN,0.115,0.07,0.091,0.4,0.796,,,
ece,SPORT,0.028,0.033,0.027,0.221,0.026,,,
ece,STRATEGYQA,0.152,0.141,0.147,0.083,0.137,,,
ece,SVAMP,0.039,0.037,0.036,0.011,0.061,,,
ece,average,0.095,0.091,0.09,0.141,0.192,,,
brier,ASDIV,0.053,0.053,0.054,0.074,0.079,,,
brier,CLUTRR,0.341,0.397,0.366,0.447,0.487,,,
brier,GSM8K,0.066,0.056,0.06,0.072,0.077,,,
brier,DATE,0.059,0.049,0.05,0.053,0.056,,,
brier,MULTIARITH,0.017,0.008,0.012,0.01,0.008,,,
brier,SAYCAN,0.115,0.098,0.108,0.339,0.796,,,
brier,SPORT,0.027,0.032,0.027,0.167,0.027,,,
brier,STRATEGYQA,0.161,0.164,0.157,0.14,0.155,,,
brier,SVAMP,0.042,0.04,0.041,0.057,0.061,,,
brier,average,0.098,0.1,0.097,0.151,0.194,,,
