,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.038,0.038,0.038,0.012,0.062,,,
ece,CLUTRR,0.207,0.212,0.205,0.105,0.214,,,
ece,GSM8K,0.034,0.026,0.026,0.014,0.041,,,
ece,DATE,0.038,0.023,0.02,0.025,0.025,,,
ece,MULTIARITH,0.014,0.01,0.011,0.042,0.008,,,
ece,SAYCAN,0.075,0.064,0.064,0.073,0.038,,,
ece,SPORT,0.01,0.004,0.008,0.269,0.326,,,
ece,STRATEGYQA,0.232,0.161,0.166,0.22,0.304,,,
ece,SVAMP,0.028,0.035,0.034,0.017,0.038,,,
ece,average,0.075,0.064,0.064,0.086,0.117,,,
brier,ASDIV,0.048,0.05,0.048,0.058,0.062,,,
brier,CLUTRR,0.221,0.222,0.218,0.139,0.197,,,
brier,GSM8K,0.036,0.034,0.033,0.042,0.041,,,
brier,DATE,0.028,0.022,0.022,0.025,0.025,,,
brier,MULTIARITH,0.012,0.009,0.01,0.01,0.008,,,
brier,SAYCAN,0.068,0.065,0.068,0.045,0.034,,,
brier,SPORT,0.009,0.004,0.007,0.14,0.319,,,
brier,STRATEGYQA,0.281,0.229,0.237,0.276,0.31,,,
brier,SVAMP,0.034,0.035,0.035,0.036,0.038,,,
brier,average,0.082,0.074,0.075,0.086,0.115,,,
