,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.046,0.053,0.046,0.017,0.068,,,
ece,CLUTRR,0.69,0.784,0.729,0.522,0.577,,,
ece,GSM8K,0.042,0.029,0.028,0.014,0.048,,,
ece,DATE,0.041,0.034,0.038,0.017,0.033,,,
ece,MULTIARITH,0.015,0.014,0.012,0.036,0.017,,,
ece,SAYCAN,0.072,0.074,0.075,0.1,0.018,,,
ece,SPORT,0.005,0.002,0.003,0.407,0.029,,,
ece,STRATEGYQA,0.247,0.131,0.159,0.133,0.25,,,
ece,SVAMP,0.042,0.044,0.044,0.006,0.056,,,
ece,average,0.133,0.129,0.126,0.139,0.122,,,
brier,ASDIV,0.056,0.058,0.055,0.064,0.068,,,
brier,CLUTRR,0.671,0.757,0.713,0.501,0.574,,,
brier,GSM8K,0.042,0.034,0.035,0.045,0.048,,,
brier,DATE,0.035,0.034,0.035,0.033,0.033,,,
brier,MULTIARITH,0.014,0.015,0.014,0.017,0.017,,,
brier,SAYCAN,0.065,0.074,0.071,0.036,0.023,,,
brier,SPORT,0.003,0.001,0.001,0.256,0.024,,,
brier,STRATEGYQA,0.273,0.201,0.217,0.203,0.255,,,
brier,SVAMP,0.047,0.047,0.046,0.052,0.055,,,
brier,average,0.134,0.136,0.132,0.134,0.122,,,
