,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.193,0.21,0.198,0.138,0.18,,,
ece,CLUTRR,0.391,0.457,0.423,0.395,0.422,,,
ece,GSM8K,0.233,0.353,0.272,0.454,0.506,,,
ece,DATE,0.107,0.166,0.134,0.158,0.204,,,
ece,MULTIARITH,0.01,0.008,0.009,0.055,0.022,,,
ece,SAYCAN,0.082,0.027,0.047,0.688,0.654,,,
ece,SPORT,0.086,0.081,0.08,0.163,0.077,,,
ece,STRATEGYQA,0.254,0.253,0.252,0.141,0.161,,,
ece,SVAMP,0.061,0.071,0.066,0.043,0.093,,,
ece,average,0.157,0.181,0.165,0.248,0.258,,,
brier,ASDIV,0.198,0.214,0.199,0.169,0.179,,,
brier,CLUTRR,0.399,0.449,0.426,0.402,0.44,,,
brier,GSM8K,0.219,0.307,0.254,0.456,0.505,,,
brier,DATE,0.109,0.154,0.129,0.189,0.204,,,
brier,MULTIARITH,0.01,0.009,0.01,0.024,0.02,,,
brier,SAYCAN,0.059,0.034,0.041,0.599,0.638,,,
brier,SPORT,0.087,0.084,0.084,0.157,0.089,,,
brier,STRATEGYQA,0.258,0.261,0.257,0.195,0.204,,,
brier,SVAMP,0.064,0.072,0.068,0.086,0.092,,,
brier,average,0.156,0.176,0.163,0.253,0.263,,,
