Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.156,0.052,0.144,0.032,0.043
ece,CLUTRR,0.472,0.341,0.415,0.286,0.156
ece,GSM8K,0.234,0.039,0.177,0.047,0.037
ece,DATE,0.333,0.125,0.152,0.147,0.153
ece,MULTIARITH,0.381,0.135,0.254,0.102,0.153
ece,SAYCAN,0.163,0.121,0.135,0.176,0.138
ece,SPORT,0.215,0.061,0.088,0.132,0.142
ece,STRATEGYQA,0.132,0.113,0.058,0.176,0.099
ece,SVAMP,0.151,0.057,0.088,0.031,0.032
ece,average,0.249,0.116,0.168,0.125,0.106
brier,ASDIV,0.134,0.11,0.157,0.135,0.137
brier,CLUTRR,0.459,0.348,0.417,0.29,0.251
brier,GSM8K,0.162,0.183,0.192,0.175,0.184
brier,DATE,0.32,0.172,0.188,0.187,0.161
brier,MULTIARITH,0.276,0.106,0.296,0.173,0.139
brier,SAYCAN,0.178,0.162,0.152,0.239,0.217
brier,SPORT,0.268,0.07,0.111,0.162,0.153
brier,STRATEGYQA,0.258,0.207,0.191,0.297,0.253
brier,SVAMP,0.172,0.191,0.17,0.189,0.179
brier,average,0.247,0.172,0.208,0.205,0.186
