,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.037,0.144,0.083,,,0.359,,
ece,CLUTRR,0.29,0.415,0.341,,,0.55,,
ece,GSM8K,0.03,0.177,0.102,,,0.731,,
ece,DATE,0.085,0.152,0.073,,,0.384,,
ece,MULTIARITH,0.103,0.254,0.196,,,0.626,,
ece,SAYCAN,0.311,0.135,0.264,,,0.187,,
ece,SPORT,0.107,0.088,0.088,,,0.128,,
ece,STRATEGYQA,0.387,0.058,0.187,,,0.256,,
ece,SVAMP,0.13,0.088,0.093,,,0.349,,
ece,average,0.164,0.168,0.159,,,0.397,,
brier,ASDIV,0.13,0.157,0.139,,,0.361,,
brier,CLUTRR,0.339,0.417,0.376,,,0.549,,
brier,GSM8K,0.157,0.192,0.173,,,0.709,,
brier,DATE,0.179,0.188,0.17,,,0.382,,
brier,MULTIARITH,0.235,0.296,0.267,,,0.618,,
brier,SAYCAN,0.253,0.152,0.227,,,0.191,,
brier,SPORT,0.13,0.111,0.113,,,0.131,,
brier,STRATEGYQA,0.364,0.191,0.243,,,0.273,,
brier,SVAMP,0.184,0.17,0.174,,,0.353,,
brier,average,0.219,0.208,0.209,,,0.396,,
