,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.043,0.156,0.082,,,0.382,,
ece,CLUTRR,0.308,0.472,0.381,,,0.612,,
ece,GSM8K,0.091,0.234,0.111,,,0.779,,
ece,DATE,0.159,0.333,0.258,,,0.606,,
ece,MULTIARITH,0.188,0.381,0.218,,,0.824,,
ece,SAYCAN,0.141,0.163,0.197,,,0.331,,
ece,SPORT,0.285,0.215,0.201,,,0.357,,
ece,STRATEGYQA,0.362,0.132,0.221,,,0.37,,
ece,SVAMP,0.052,0.151,0.104,,,0.435,,
ece,average,0.181,0.249,0.197,,,0.522,,
brier,ASDIV,0.1,0.134,0.108,,,0.355,,
brier,CLUTRR,0.357,0.459,0.404,,,0.607,,
brier,GSM8K,0.107,0.162,0.124,,,0.691,,
brier,DATE,0.236,0.32,0.28,,,0.59,,
brier,MULTIARITH,0.159,0.276,0.2,,,0.763,,
brier,SAYCAN,0.179,0.178,0.208,,,0.331,,
brier,SPORT,0.316,0.268,0.267,,,0.359,,
brier,STRATEGYQA,0.396,0.258,0.299,,,0.377,,
brier,SVAMP,0.148,0.172,0.158,,,0.403,,
brier,average,0.222,0.247,0.228,,,0.497,,
