Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.043,0.113,0.04,0.116,0.121
ece,CLUTRR,0.212,0.204,0.214,0.284,0.203
ece,GSM8K,0.108,0.241,0.151,0.24,0.253
ece,DATE,0.146,0.124,0.131,0.119,0.11
ece,MULTIARITH,0.137,0.157,0.175,0.228,0.188
ece,SAYCAN,0.26,0.336,0.239,0.168,0.144
ece,SPORT,0.168,0.026,0.019,0.027,0.016
ece,STRATEGYQA,0.291,0.251,0.312,0.385,0.49
ece,SVAMP,0.057,0.188,0.109,0.172,0.226
ece,average,0.158,0.182,0.154,0.193,0.195
brier,ASDIV,0.095,0.106,0.102,0.116,0.117
brier,CLUTRR,0.285,0.278,0.277,0.318,0.277
brier,GSM8K,0.141,0.217,0.22,0.211,0.214
brier,DATE,0.22,0.13,0.16,0.173,0.154
brier,MULTIARITH,0.206,0.07,0.194,0.118,0.084
brier,SAYCAN,0.193,0.246,0.235,0.192,0.165
brier,SPORT,0.202,0.017,0.015,0.018,0.011
brier,STRATEGYQA,0.306,0.243,0.276,0.412,0.452
brier,SVAMP,0.117,0.156,0.119,0.157,0.176
brier,average,0.196,0.163,0.178,0.191,0.183
