Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.072,0.07,0.062,0.067,0.073
ece,CLUTRR,0.3,0.26,0.28,0.28,0.167
ece,GSM8K,0.147,0.17,0.14,0.173,0.186
ece,DATE,0.198,0.065,0.145,0.132,0.106
ece,MULTIARITH,0.214,0.084,0.131,0.142,0.105
ece,SAYCAN,0.199,0.279,0.194,0.184,0.18
ece,SPORT,0.151,0.014,0.01,0.015,0.006
ece,STRATEGYQA,0.154,0.116,0.137,0.225,0.282
ece,SVAMP,0.093,0.122,0.078,0.116,0.156
ece,average,0.17,0.131,0.131,0.148,0.14
brier,ASDIV,0.101,0.089,0.105,0.105,0.103
brier,CLUTRR,0.33,0.307,0.314,0.321,0.271
brier,GSM8K,0.161,0.187,0.215,0.186,0.184
brier,DATE,0.234,0.114,0.167,0.172,0.154
brier,MULTIARITH,0.239,0.033,0.173,0.071,0.048
brier,SAYCAN,0.151,0.227,0.203,0.194,0.182
brier,SPORT,0.179,0.011,0.01,0.013,0.008
brier,STRATEGYQA,0.228,0.173,0.182,0.318,0.296
brier,SVAMP,0.127,0.133,0.107,0.134,0.145
brier,average,0.194,0.142,0.164,0.168,0.155
