,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.121,0.022,0.073,,,0.209,,
ece,CLUTRR,0.203,0.184,0.167,,,0.539,,
ece,GSM8K,0.253,0.064,0.186,,,0.244,,
ece,DATE,0.11,0.124,0.106,,,0.263,,
ece,MULTIARITH,0.188,0.061,0.105,,,0.009,,
ece,SAYCAN,0.144,0.27,0.18,,,0.219,,
ece,SPORT,0.016,0.004,0.006,,,0.006,,
ece,STRATEGYQA,0.49,0.014,0.282,,,0.301,,
ece,SVAMP,0.226,0.062,0.156,,,0.142,,
ece,average,0.195,0.089,0.14,,,0.215,,
brier,ASDIV,0.117,0.091,0.103,,,0.215,,
brier,CLUTRR,0.277,0.274,0.271,,,0.536,,
brier,GSM8K,0.214,0.14,0.184,,,0.253,,
brier,DATE,0.154,0.154,0.154,,,0.263,,
brier,MULTIARITH,0.084,0.027,0.048,,,0.026,,
brier,SAYCAN,0.165,0.248,0.182,,,0.232,,
brier,SPORT,0.011,0.006,0.008,,,0.007,,
brier,STRATEGYQA,0.452,0.194,0.296,,,0.31,,
brier,SVAMP,0.176,0.109,0.145,,,0.152,,
brier,average,0.183,0.138,0.155,,,0.222,,
