,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.116,0.019,0.067,,,0.17,,
ece,CLUTRR,0.284,0.377,0.28,,,0.605,,
ece,GSM8K,0.24,0.058,0.173,,,0.227,,
ece,DATE,0.119,0.129,0.132,,,0.204,,
ece,MULTIARITH,0.228,0.076,0.142,,,0.013,,
ece,SAYCAN,0.168,0.164,0.184,,,0.26,,
ece,SPORT,0.027,0.011,0.015,,,0.01,,
ece,STRATEGYQA,0.385,0.132,0.225,,,0.415,,
ece,SVAMP,0.172,0.041,0.116,,,0.147,,
ece,average,0.193,0.112,0.148,,,0.228,,
brier,ASDIV,0.116,0.093,0.105,,,0.187,,
brier,CLUTRR,0.318,0.365,0.321,,,0.596,,
brier,GSM8K,0.211,0.144,0.186,,,0.243,,
brier,DATE,0.173,0.159,0.172,,,0.205,,
brier,MULTIARITH,0.118,0.041,0.071,,,0.042,,
brier,SAYCAN,0.192,0.191,0.194,,,0.264,,
brier,SPORT,0.018,0.011,0.013,,,0.012,,
brier,STRATEGYQA,0.412,0.267,0.318,,,0.421,,
brier,SVAMP,0.157,0.114,0.134,,,0.165,,
brier,average,0.191,0.154,0.168,,,0.237,,
