,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.106,0.067,0.061,,,0.335,,
ece,CLUTRR,0.131,0.327,0.236,,,0.572,,
ece,GSM8K,0.058,0.088,0.087,,,0.665,,
ece,DATE,0.086,0.219,0.173,,,0.559,,
ece,MULTIARITH,0.29,0.084,0.245,,,0.269,,
ece,SAYCAN,0.361,0.2,0.358,,,0.167,,
ece,SPORT,0.147,0.146,0.141,,,0.192,,
ece,STRATEGYQA,0.324,0.131,0.18,,,0.351,,
ece,SVAMP,0.156,0.048,0.157,,,0.435,,
ece,average,0.184,0.146,0.182,,,0.394,,
brier,ASDIV,0.154,0.138,0.141,,,0.341,,
brier,CLUTRR,0.255,0.345,0.297,,,0.566,,
brier,GSM8K,0.166,0.17,0.173,,,0.631,,
brier,DATE,0.239,0.273,0.257,,,0.554,,
brier,MULTIARITH,0.274,0.193,0.254,,,0.297,,
brier,SAYCAN,0.314,0.191,0.325,,,0.178,,
brier,SPORT,0.18,0.169,0.166,,,0.198,,
brier,STRATEGYQA,0.353,0.24,0.269,,,0.366,,
brier,SVAMP,0.235,0.21,0.235,,,0.437,,
brier,average,0.241,0.214,0.235,,,0.396,,
