,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.055,0.096,0.05,,,0.326,,
ece,CLUTRR,0.282,0.46,0.379,,,0.648,,
ece,GSM8K,0.099,0.093,0.113,,,0.614,,
ece,DATE,0.104,0.193,0.139,,,0.537,,
ece,MULTIARITH,0.153,0.124,0.163,,,0.481,,
ece,SAYCAN,0.127,0.088,0.141,,,0.415,,
ece,SPORT,0.126,0.127,0.124,,,0.165,,
ece,STRATEGYQA,0.244,0.156,0.183,,,0.288,,
ece,SVAMP,0.09,0.082,0.055,,,0.282,,
ece,average,0.142,0.158,0.15,,,0.417,,
brier,ASDIV,0.119,0.127,0.119,,,0.328,,
brier,CLUTRR,0.33,0.452,0.394,,,0.642,,
brier,GSM8K,0.198,0.194,0.202,,,0.602,,
brier,DATE,0.22,0.222,0.213,,,0.533,,
brier,MULTIARITH,0.256,0.253,0.263,,,0.485,,
brier,SAYCAN,0.196,0.177,0.178,,,0.417,,
brier,SPORT,0.153,0.148,0.146,,,0.173,,
brier,STRATEGYQA,0.297,0.237,0.251,,,0.305,,
brier,SVAMP,0.137,0.136,0.132,,,0.287,,
brier,average,0.212,0.216,0.211,,,0.419,,
