Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.203,0.031,0.096,0.046,0.049
ece,CLUTRR,0.56,0.417,0.46,0.338,0.234
ece,GSM8K,0.312,0.074,0.093,0.033,0.054
ece,DATE,0.321,0.316,0.193,0.215,0.052
ece,MULTIARITH,0.402,0.091,0.124,0.071,0.079
ece,SAYCAN,0.094,0.125,0.088,0.148,0.322
ece,SPORT,0.215,0.095,0.127,0.249,0.166
ece,STRATEGYQA,0.203,0.167,0.156,0.209,0.18
ece,SVAMP,0.21,0.045,0.082,0.035,0.039
ece,average,0.28,0.151,0.158,0.149,0.131
brier,ASDIV,0.175,0.109,0.127,0.111,0.111
brier,CLUTRR,0.546,0.422,0.452,0.318,0.249
brier,GSM8K,0.215,0.186,0.194,0.182,0.18
brier,DATE,0.303,0.299,0.222,0.265,0.132
brier,MULTIARITH,0.288,0.093,0.253,0.12,0.068
brier,SAYCAN,0.18,0.18,0.177,0.212,0.296
brier,SPORT,0.243,0.134,0.148,0.269,0.186
brier,STRATEGYQA,0.265,0.236,0.237,0.312,0.295
brier,SVAMP,0.194,0.146,0.136,0.14,0.121
brier,average,0.268,0.201,0.216,0.214,0.182
