Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.087,0.113,0.055,0.117,0.106
ece,CLUTRR,0.423,0.232,0.282,0.14,0.114
ece,GSM8K,0.148,0.114,0.099,0.201,0.164
ece,DATE,0.161,0.138,0.104,0.14,0.205
ece,MULTIARITH,0.22,0.267,0.153,0.27,0.243
ece,SAYCAN,0.235,0.263,0.127,0.185,0.205
ece,SPORT,0.208,0.145,0.126,0.25,0.164
ece,STRATEGYQA,0.247,0.219,0.244,0.357,0.368
ece,SVAMP,0.083,0.175,0.09,0.172,0.204
ece,average,0.201,0.185,0.142,0.204,0.197
brier,ASDIV,0.13,0.132,0.119,0.137,0.13
brier,CLUTRR,0.435,0.318,0.33,0.233,0.215
brier,GSM8K,0.129,0.197,0.198,0.229,0.21
brier,DATE,0.247,0.227,0.22,0.224,0.184
brier,MULTIARITH,0.163,0.188,0.256,0.202,0.148
brier,SAYCAN,0.235,0.259,0.196,0.242,0.21
brier,SPORT,0.248,0.17,0.153,0.274,0.191
brier,STRATEGYQA,0.301,0.275,0.297,0.394,0.404
brier,SVAMP,0.15,0.187,0.137,0.178,0.178
brier,average,0.226,0.217,0.212,0.235,0.208
