Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.119,0.071,0.05,0.07,0.06
ece,CLUTRR,0.495,0.328,0.379,0.21,0.136
ece,GSM8K,0.157,0.1,0.113,0.145,0.124
ece,DATE,0.224,0.193,0.139,0.195,0.162
ece,MULTIARITH,0.245,0.201,0.163,0.193,0.171
ece,SAYCAN,0.188,0.268,0.141,0.2,0.262
ece,SPORT,0.185,0.107,0.124,0.242,0.169
ece,STRATEGYQA,0.208,0.173,0.183,0.251,0.239
ece,SVAMP,0.139,0.12,0.055,0.114,0.132
ece,average,0.218,0.173,0.15,0.18,0.162
brier,ASDIV,0.143,0.12,0.119,0.12,0.116
brier,CLUTRR,0.496,0.372,0.394,0.254,0.22
brier,GSM8K,0.156,0.196,0.202,0.212,0.204
brier,DATE,0.266,0.25,0.213,0.243,0.164
brier,MULTIARITH,0.205,0.149,0.263,0.173,0.11
brier,SAYCAN,0.216,0.277,0.178,0.236,0.237
brier,SPORT,0.232,0.142,0.146,0.267,0.184
brier,STRATEGYQA,0.272,0.243,0.251,0.332,0.324
brier,SVAMP,0.168,0.173,0.132,0.165,0.154
brier,average,0.239,0.214,0.211,0.222,0.19
