,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.113,0.031,0.071,,,0.215,,
ece,CLUTRR,0.232,0.417,0.328,,,0.632,,
ece,GSM8K,0.114,0.074,0.1,,,0.469,,
ece,DATE,0.138,0.316,0.193,,,0.625,,
ece,MULTIARITH,0.267,0.091,0.201,,,0.067,,
ece,SAYCAN,0.263,0.125,0.268,,,0.283,,
ece,SPORT,0.145,0.095,0.107,,,0.141,,
ece,STRATEGYQA,0.219,0.167,0.173,,,0.259,,
ece,SVAMP,0.175,0.045,0.12,,,0.228,,
ece,average,0.185,0.151,0.173,,,0.324,,
brier,ASDIV,0.132,0.109,0.12,,,0.234,,
brier,CLUTRR,0.318,0.422,0.372,,,0.625,,
brier,GSM8K,0.197,0.186,0.196,,,0.463,,
brier,DATE,0.227,0.299,0.25,,,0.618,,
brier,MULTIARITH,0.188,0.093,0.149,,,0.106,,
brier,SAYCAN,0.259,0.18,0.277,,,0.289,,
brier,SPORT,0.17,0.134,0.142,,,0.159,,
brier,STRATEGYQA,0.275,0.236,0.243,,,0.284,,
brier,SVAMP,0.187,0.146,0.173,,,0.248,,
brier,average,0.217,0.201,0.214,,,0.336,,
