,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.106,0.049,0.06,,,0.259,,
ece,CLUTRR,0.114,0.234,0.136,,,0.7,,
ece,GSM8K,0.164,0.054,0.124,,,0.363,,
ece,DATE,0.205,0.052,0.162,,,0.244,,
ece,MULTIARITH,0.243,0.079,0.171,,,0.064,,
ece,SAYCAN,0.205,0.322,0.262,,,0.25,,
ece,SPORT,0.164,0.166,0.169,,,0.216,,
ece,STRATEGYQA,0.368,0.18,0.239,,,0.434,,
ece,SVAMP,0.204,0.039,0.132,,,0.188,,
ece,average,0.197,0.131,0.162,,,0.302,,
brier,ASDIV,0.13,0.111,0.116,,,0.264,,
brier,CLUTRR,0.215,0.249,0.22,,,0.69,,
brier,GSM8K,0.21,0.18,0.204,,,0.365,,
brier,DATE,0.184,0.132,0.164,,,0.245,,
brier,MULTIARITH,0.148,0.068,0.11,,,0.083,,
brier,SAYCAN,0.21,0.296,0.237,,,0.263,,
brier,SPORT,0.191,0.186,0.184,,,0.219,,
brier,STRATEGYQA,0.404,0.295,0.324,,,0.437,,
brier,SVAMP,0.178,0.121,0.154,,,0.198,,
brier,average,0.208,0.182,0.19,,,0.307,,
