,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.117,0.046,0.07,,,0.247,,
ece,CLUTRR,0.14,0.338,0.21,,,0.657,,
ece,GSM8K,0.201,0.033,0.145,,,0.417,,
ece,DATE,0.14,0.215,0.195,,,0.467,,
ece,MULTIARITH,0.27,0.071,0.193,,,0.124,,
ece,SAYCAN,0.185,0.148,0.2,,,0.362,,
ece,SPORT,0.25,0.249,0.242,,,0.304,,
ece,STRATEGYQA,0.357,0.209,0.251,,,0.468,,
ece,SVAMP,0.172,0.035,0.114,,,0.228,,
ece,average,0.204,0.149,0.18,,,0.364,,
brier,ASDIV,0.137,0.111,0.12,,,0.26,,
brier,CLUTRR,0.233,0.318,0.254,,,0.634,,
brier,GSM8K,0.229,0.182,0.212,,,0.413,,
brier,DATE,0.224,0.265,0.243,,,0.465,,
brier,MULTIARITH,0.202,0.12,0.173,,,0.151,,
brier,SAYCAN,0.242,0.212,0.236,,,0.363,,
brier,SPORT,0.274,0.269,0.267,,,0.306,,
brier,STRATEGYQA,0.394,0.312,0.332,,,0.469,,
brier,SVAMP,0.178,0.14,0.165,,,0.245,,
brier,average,0.235,0.214,0.222,,,0.367,,
