,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.087,0.203,0.119,,,0.374,,
ece,CLUTRR,0.423,0.56,0.495,,,0.658,,
ece,GSM8K,0.148,0.312,0.157,,,0.785,,
ece,DATE,0.161,0.321,0.224,,,0.648,,
ece,MULTIARITH,0.22,0.402,0.245,,,0.832,,
ece,SAYCAN,0.235,0.094,0.188,,,0.328,,
ece,SPORT,0.208,0.215,0.185,,,0.196,,
ece,STRATEGYQA,0.247,0.203,0.208,,,0.332,,
ece,SVAMP,0.083,0.21,0.139,,,0.416,,
ece,average,0.201,0.28,0.218,,,0.508,,
brier,ASDIV,0.13,0.175,0.143,,,0.353,,
brier,CLUTRR,0.435,0.546,0.496,,,0.651,,
brier,GSM8K,0.129,0.215,0.156,,,0.699,,
brier,DATE,0.247,0.303,0.266,,,0.626,,
brier,MULTIARITH,0.163,0.288,0.205,,,0.769,,
brier,SAYCAN,0.235,0.18,0.216,,,0.33,,
brier,SPORT,0.248,0.243,0.232,,,0.251,,
brier,STRATEGYQA,0.301,0.265,0.272,,,0.335,,
brier,SVAMP,0.15,0.194,0.168,,,0.393,,
brier,average,0.226,0.268,0.239,,,0.49,,
