Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.155,0.039,0.098,0.037,0.033
ece,CLUTRR,0.353,0.363,0.384,0.27,0.107
ece,GSM8K,0.309,0.046,0.156,0.028,0.047
ece,DATE,0.285,0.2,0.133,0.146,0.132
ece,MULTIARITH,0.402,0.11,0.162,0.093,0.121
ece,SAYCAN,0.163,0.141,0.103,0.213,0.351
ece,SPORT,0.121,0.028,0.025,0.058,0.06
ece,STRATEGYQA,0.194,0.08,0.049,0.232,0.064
ece,SVAMP,0.157,0.042,0.077,0.034,0.065
ece,average,0.238,0.117,0.132,0.123,0.109
brier,ASDIV,0.137,0.088,0.124,0.104,0.108
brier,CLUTRR,0.356,0.373,0.396,0.293,0.252
brier,GSM8K,0.209,0.174,0.198,0.168,0.191
brier,DATE,0.276,0.204,0.178,0.196,0.157
brier,MULTIARITH,0.294,0.063,0.245,0.12,0.076
brier,SAYCAN,0.113,0.109,0.139,0.243,0.328
brier,SPORT,0.19,0.032,0.033,0.078,0.09
brier,STRATEGYQA,0.274,0.182,0.177,0.318,0.242
brier,SVAMP,0.161,0.141,0.133,0.14,0.132
brier,average,0.223,0.152,0.18,0.184,0.175
