Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.06,0.097,0.05,0.135,0.127
ece,CLUTRR,0.169,0.201,0.231,0.178,0.255
ece,GSM8K,0.145,0.222,0.056,0.21,0.203
ece,DATE,0.131,0.063,0.066,0.086,0.101
ece,MULTIARITH,0.189,0.276,0.098,0.295,0.314
ece,SAYCAN,0.342,0.283,0.208,0.209,0.256
ece,SPORT,0.246,0.043,0.05,0.105,0.116
ece,STRATEGYQA,0.276,0.292,0.381,0.331,0.474
ece,SVAMP,0.053,0.205,0.098,0.208,0.249
ece,average,0.179,0.187,0.138,0.195,0.233
brier,ASDIV,0.107,0.11,0.121,0.138,0.134
brier,CLUTRR,0.265,0.284,0.301,0.261,0.305
brier,GSM8K,0.127,0.231,0.172,0.221,0.234
brier,DATE,0.221,0.176,0.163,0.18,0.15
brier,MULTIARITH,0.165,0.162,0.225,0.209,0.185
brier,SAYCAN,0.252,0.213,0.192,0.224,0.243
brier,SPORT,0.261,0.039,0.046,0.105,0.128
brier,STRATEGYQA,0.331,0.291,0.347,0.373,0.471
brier,SVAMP,0.137,0.195,0.141,0.201,0.207
brier,average,0.207,0.189,0.19,0.212,0.229
