Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.095,0.054,0.056,0.081,0.07
ece,CLUTRR,0.264,0.275,0.319,0.156,0.212
ece,GSM8K,0.152,0.188,0.105,0.162,0.169
ece,DATE,0.21,0.112,0.109,0.138,0.102
ece,MULTIARITH,0.215,0.199,0.12,0.225,0.214
ece,SAYCAN,0.28,0.213,0.139,0.238,0.286
ece,SPORT,0.119,0.023,0.026,0.064,0.083
ece,STRATEGYQA,0.189,0.143,0.179,0.234,0.29
ece,SVAMP,0.101,0.151,0.07,0.149,0.182
ece,average,0.181,0.151,0.125,0.161,0.179
brier,ASDIV,0.118,0.096,0.118,0.118,0.116
brier,CLUTRR,0.307,0.324,0.353,0.259,0.293
brier,GSM8K,0.15,0.218,0.184,0.204,0.223
brier,DATE,0.247,0.172,0.172,0.193,0.151
brier,MULTIARITH,0.204,0.114,0.234,0.177,0.126
brier,SAYCAN,0.222,0.183,0.17,0.233,0.277
brier,SPORT,0.197,0.032,0.034,0.085,0.103
brier,STRATEGYQA,0.282,0.211,0.226,0.322,0.339
brier,SVAMP,0.145,0.173,0.133,0.181,0.177
brier,average,0.208,0.169,0.18,0.197,0.201
