,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.097,0.039,0.054,,,0.198,,
ece,CLUTRR,0.201,0.363,0.275,,,0.553,,
ece,GSM8K,0.222,0.046,0.188,,,0.327,,
ece,DATE,0.063,0.2,0.112,,,0.378,,
ece,MULTIARITH,0.276,0.11,0.199,,,0.003,,
ece,SAYCAN,0.283,0.141,0.213,,,0.139,,
ece,SPORT,0.043,0.028,0.023,,,0.027,,
ece,STRATEGYQA,0.292,0.08,0.143,,,0.205,,
ece,SVAMP,0.205,0.042,0.151,,,0.202,,
ece,average,0.187,0.117,0.151,,,0.226,,
brier,ASDIV,0.11,0.088,0.096,,,0.22,,
brier,CLUTRR,0.284,0.373,0.324,,,0.55,,
brier,GSM8K,0.231,0.174,0.218,,,0.338,,
brier,DATE,0.176,0.204,0.172,,,0.377,,
brier,MULTIARITH,0.162,0.063,0.114,,,0.055,,
brier,SAYCAN,0.213,0.109,0.183,,,0.149,,
brier,SPORT,0.039,0.032,0.032,,,0.037,,
brier,STRATEGYQA,0.291,0.182,0.211,,,0.236,,
brier,SVAMP,0.195,0.141,0.173,,,0.23,,
brier,average,0.189,0.152,0.169,,,0.244,,
