,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.05,0.098,0.056,,,0.298,,
ece,CLUTRR,0.231,0.384,0.319,,,0.568,,
ece,GSM8K,0.056,0.156,0.105,,,0.692,,
ece,DATE,0.066,0.133,0.109,,,0.344,,
ece,MULTIARITH,0.098,0.162,0.12,,,0.554,,
ece,SAYCAN,0.208,0.103,0.139,,,0.274,,
ece,SPORT,0.05,0.025,0.026,,,0.04,,
ece,STRATEGYQA,0.381,0.049,0.179,,,0.227,,
ece,SVAMP,0.098,0.077,0.07,,,0.256,,
ece,average,0.138,0.132,0.125,,,0.361,,
brier,ASDIV,0.121,0.124,0.118,,,0.301,,
brier,CLUTRR,0.301,0.396,0.353,,,0.566,,
brier,GSM8K,0.172,0.198,0.184,,,0.676,,
brier,DATE,0.163,0.178,0.172,,,0.343,,
brier,MULTIARITH,0.225,0.245,0.234,,,0.55,,
brier,SAYCAN,0.192,0.139,0.17,,,0.276,,
brier,SPORT,0.046,0.033,0.034,,,0.045,,
brier,STRATEGYQA,0.347,0.177,0.226,,,0.249,,
brier,SVAMP,0.141,0.133,0.133,,,0.262,,
brier,average,0.19,0.18,0.18,,,0.363,,
