,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.127,0.033,0.07,,,0.258,,
ece,CLUTRR,0.255,0.107,0.212,,,0.523,,
ece,GSM8K,0.203,0.047,0.169,,,0.348,,
ece,DATE,0.101,0.132,0.102,,,0.295,,
ece,MULTIARITH,0.314,0.121,0.214,,,0.066,,
ece,SAYCAN,0.256,0.351,0.286,,,0.173,,
ece,SPORT,0.116,0.06,0.083,,,0.11,,
ece,STRATEGYQA,0.474,0.064,0.29,,,0.373,,
ece,SVAMP,0.249,0.065,0.182,,,0.186,,
ece,average,0.233,0.109,0.179,,,0.259,,
brier,ASDIV,0.134,0.108,0.116,,,0.264,,
brier,CLUTRR,0.305,0.252,0.293,,,0.522,,
brier,GSM8K,0.234,0.191,0.223,,,0.351,,
brier,DATE,0.15,0.157,0.151,,,0.295,,
brier,MULTIARITH,0.185,0.076,0.126,,,0.085,,
brier,SAYCAN,0.243,0.328,0.277,,,0.195,,
brier,SPORT,0.128,0.09,0.103,,,0.112,,
brier,STRATEGYQA,0.471,0.242,0.339,,,0.38,,
brier,SVAMP,0.207,0.132,0.177,,,0.196,,
brier,average,0.229,0.175,0.201,,,0.267,,
