,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.135,0.037,0.081,,,0.238,,
ece,CLUTRR,0.178,0.27,0.156,,,0.616,,
ece,GSM8K,0.21,0.028,0.162,,,0.375,,
ece,DATE,0.086,0.146,0.138,,,0.284,,
ece,MULTIARITH,0.295,0.093,0.225,,,0.134,,
ece,SAYCAN,0.209,0.213,0.238,,,0.305,,
ece,SPORT,0.105,0.058,0.064,,,0.094,,
ece,STRATEGYQA,0.331,0.232,0.234,,,0.485,,
ece,SVAMP,0.208,0.034,0.149,,,0.206,,
ece,average,0.195,0.123,0.161,,,0.304,,
brier,ASDIV,0.138,0.104,0.118,,,0.249,,
brier,CLUTRR,0.261,0.293,0.259,,,0.602,,
brier,GSM8K,0.221,0.168,0.204,,,0.377,,
brier,DATE,0.18,0.196,0.193,,,0.285,,
brier,MULTIARITH,0.209,0.12,0.177,,,0.159,,
brier,SAYCAN,0.224,0.243,0.233,,,0.31,,
brier,SPORT,0.105,0.078,0.085,,,0.097,,
brier,STRATEGYQA,0.373,0.318,0.322,,,0.484,,
brier,SVAMP,0.201,0.14,0.181,,,0.222,,
brier,average,0.212,0.184,0.197,,,0.309,,
