,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.06,0.155,0.095,,,0.332,,
ece,CLUTRR,0.169,0.353,0.264,,,0.544,,
ece,GSM8K,0.145,0.309,0.152,,,0.792,,
ece,DATE,0.131,0.285,0.21,,,0.585,,
ece,MULTIARITH,0.189,0.402,0.215,,,0.806,,
ece,SAYCAN,0.342,0.163,0.28,,,0.099,,
ece,SPORT,0.246,0.121,0.119,,,0.25,,
ece,STRATEGYQA,0.276,0.194,0.189,,,0.363,,
ece,SVAMP,0.053,0.157,0.101,,,0.361,,
ece,average,0.179,0.238,0.181,,,0.459,,
brier,ASDIV,0.107,0.137,0.118,,,0.313,,
brier,CLUTRR,0.265,0.356,0.307,,,0.537,,
brier,GSM8K,0.127,0.209,0.15,,,0.712,,
brier,DATE,0.221,0.276,0.247,,,0.566,,
brier,MULTIARITH,0.165,0.294,0.204,,,0.751,,
brier,SAYCAN,0.252,0.113,0.222,,,0.104,,
brier,SPORT,0.261,0.19,0.197,,,0.253,,
brier,STRATEGYQA,0.331,0.274,0.282,,,0.366,,
brier,SVAMP,0.137,0.161,0.145,,,0.338,,
brier,average,0.207,0.223,0.208,,,0.438,,
