Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.544,0.058,0.033,0.086,0.05
ece,CLUTRR,0.664,0.459,0.476,0.523,0.28
ece,GSM8K,0.527,0.041,0.052,0.172,0.074
ece,DATE,0.538,0.127,0.195,0.279,0.111
ece,MULTIARITH,0.616,0.119,0.095,0.099,0.252
ece,SAYCAN,0.161,0.071,0.119,0.473,0.591
ece,SPORT,0.232,0.082,0.04,0.11,0.11
ece,STRATEGYQA,0.323,0.109,0.153,0.425,0.307
ece,SVAMP,0.539,0.032,0.039,0.082,0.028
ece,average,0.46,0.122,0.134,0.25,0.2
brier,ASDIV,0.435,0.15,0.159,0.167,0.188
brier,CLUTRR,0.645,0.402,0.428,0.469,0.258
brier,GSM8K,0.386,0.123,0.12,0.188,0.138
brier,DATE,0.429,0.174,0.186,0.252,0.199
brier,MULTIARITH,0.484,0.175,0.232,0.207,0.271
brier,SAYCAN,0.158,0.203,0.181,0.495,0.574
brier,SPORT,0.241,0.15,0.119,0.166,0.166
brier,STRATEGYQA,0.334,0.201,0.234,0.431,0.355
brier,SVAMP,0.418,0.182,0.181,0.197,0.199
brier,average,0.392,0.196,0.204,0.286,0.261
