Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.338,0.196,0.137,0.172,0.23
ece,CLUTRR,0.552,0.233,0.232,0.292,0.116
ece,GSM8K,0.332,0.072,0.057,0.122,0.116
ece,DATE,0.328,0.041,0.07,0.091,0.092
ece,MULTIARITH,0.391,0.29,0.224,0.322,0.427
ece,SAYCAN,0.097,0.122,0.227,0.463,0.602
ece,SPORT,0.236,0.225,0.28,0.188,0.188
ece,STRATEGYQA,0.313,0.282,0.282,0.308,0.226
ece,SVAMP,0.339,0.15,0.13,0.166,0.17
ece,average,0.325,0.179,0.182,0.236,0.241
brier,ASDIV,0.27,0.2,0.185,0.191,0.244
brier,CLUTRR,0.552,0.246,0.274,0.313,0.168
brier,GSM8K,0.22,0.13,0.123,0.173,0.148
brier,DATE,0.254,0.154,0.151,0.18,0.185
brier,MULTIARITH,0.277,0.254,0.275,0.304,0.399
brier,SAYCAN,0.136,0.211,0.243,0.471,0.587
brier,SPORT,0.244,0.231,0.238,0.215,0.215
brier,STRATEGYQA,0.332,0.303,0.313,0.364,0.322
brier,SVAMP,0.248,0.209,0.199,0.225,0.229
brier,average,0.281,0.215,0.222,0.271,0.277
