Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.394,0.162,0.108,0.099,0.192
ece,CLUTRR,0.612,0.328,0.323,0.391,0.184
ece,GSM8K,0.371,0.071,0.068,0.094,0.087
ece,DATE,0.405,0.074,0.101,0.135,0.1
ece,MULTIARITH,0.454,0.248,0.217,0.253,0.398
ece,SAYCAN,0.061,0.153,0.221,0.493,0.639
ece,SPORT,0.228,0.12,0.118,0.126,0.126
ece,STRATEGYQA,0.316,0.159,0.153,0.386,0.217
ece,SVAMP,0.39,0.139,0.114,0.116,0.156
ece,average,0.359,0.162,0.158,0.233,0.233
brier,ASDIV,0.336,0.182,0.175,0.172,0.227
brier,CLUTRR,0.602,0.316,0.338,0.384,0.205
brier,GSM8K,0.285,0.127,0.124,0.172,0.14
brier,DATE,0.325,0.167,0.168,0.199,0.195
brier,MULTIARITH,0.364,0.229,0.271,0.27,0.363
brier,SAYCAN,0.138,0.228,0.228,0.486,0.631
brier,SPORT,0.241,0.171,0.152,0.18,0.18
brier,STRATEGYQA,0.331,0.229,0.247,0.406,0.312
brier,SVAMP,0.318,0.201,0.196,0.211,0.228
brier,average,0.327,0.206,0.211,0.276,0.276
