,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.196,0.058,0.162,,,0.404,,
ece,CLUTRR,0.233,0.459,0.328,,,0.79,,
ece,GSM8K,0.072,0.041,0.071,,,0.649,,
ece,DATE,0.041,0.127,0.074,,,0.652,,
ece,MULTIARITH,0.29,0.119,0.248,,,0.237,,
ece,SAYCAN,0.122,0.071,0.153,,,0.58,,
ece,SPORT,0.225,0.082,0.12,,,0.122,,
ece,STRATEGYQA,0.282,0.109,0.159,,,0.175,,
ece,SVAMP,0.15,0.032,0.139,,,0.525,,
ece,average,0.179,0.122,0.162,,,0.459,,
brier,ASDIV,0.2,0.15,0.182,,,0.394,,
brier,CLUTRR,0.246,0.402,0.316,,,0.776,,
brier,GSM8K,0.13,0.123,0.127,,,0.58,,
brier,DATE,0.154,0.174,0.167,,,0.608,,
brier,MULTIARITH,0.254,0.175,0.229,,,0.27,,
brier,SAYCAN,0.211,0.203,0.228,,,0.571,,
brier,SPORT,0.231,0.15,0.171,,,0.172,,
brier,STRATEGYQA,0.303,0.201,0.229,,,0.231,,
brier,SVAMP,0.209,0.182,0.201,,,0.502,,
brier,average,0.215,0.196,0.206,,,0.456,,
