,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.23,0.05,0.192,,,0.519,,
ece,CLUTRR,0.116,0.28,0.184,,,0.8,,
ece,GSM8K,0.116,0.074,0.087,,,0.724,,
ece,DATE,0.092,0.111,0.1,,,0.698,,
ece,MULTIARITH,0.427,0.252,0.398,,,0.347,,
ece,SAYCAN,0.602,0.591,0.639,,,0.54,,
ece,SPORT,0.188,0.11,0.126,,,0.21,,
ece,STRATEGYQA,0.226,0.307,0.217,,,0.356,,
ece,SVAMP,0.17,0.028,0.156,,,0.601,,
ece,average,0.241,0.2,0.233,,,0.533,,
brier,ASDIV,0.244,0.188,0.227,,,0.502,,
brier,CLUTRR,0.168,0.258,0.205,,,0.783,,
brier,GSM8K,0.148,0.138,0.14,,,0.672,,
brier,DATE,0.185,0.199,0.195,,,0.684,,
brier,MULTIARITH,0.399,0.271,0.363,,,0.365,,
brier,SAYCAN,0.587,0.574,0.631,,,0.514,,
brier,SPORT,0.215,0.166,0.18,,,0.215,,
brier,STRATEGYQA,0.322,0.355,0.312,,,0.375,,
brier,SVAMP,0.229,0.199,0.228,,,0.583,,
brier,average,0.277,0.261,0.276,,,0.521,,
