,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.172,0.086,0.099,,,0.396,,
ece,CLUTRR,0.292,0.523,0.391,,,0.731,,
ece,GSM8K,0.122,0.172,0.094,,,0.689,,
ece,DATE,0.091,0.279,0.135,,,0.689,,
ece,MULTIARITH,0.322,0.099,0.253,,,0.315,,
ece,SAYCAN,0.463,0.473,0.493,,,0.622,,
ece,SPORT,0.188,0.11,0.126,,,0.21,,
ece,STRATEGYQA,0.308,0.425,0.386,,,0.385,,
ece,SVAMP,0.166,0.082,0.116,,,0.46,,
ece,average,0.236,0.25,0.233,,,0.5,,
brier,ASDIV,0.191,0.167,0.172,,,0.395,,
brier,CLUTRR,0.313,0.469,0.384,,,0.687,,
brier,GSM8K,0.173,0.188,0.172,,,0.639,,
brier,DATE,0.18,0.252,0.199,,,0.678,,
brier,MULTIARITH,0.304,0.207,0.27,,,0.335,,
brier,SAYCAN,0.471,0.495,0.486,,,0.598,,
brier,SPORT,0.215,0.166,0.18,,,0.215,,
brier,STRATEGYQA,0.364,0.431,0.406,,,0.398,,
brier,SVAMP,0.225,0.197,0.211,,,0.456,,
brier,average,0.271,0.286,0.276,,,0.489,,
