,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.338,0.544,0.394,,,0.804,,
ece,CLUTRR,0.552,0.664,0.612,,,0.732,,
ece,GSM8K,0.332,0.527,0.371,,,0.867,,
ece,DATE,0.328,0.538,0.405,,,0.797,,
ece,MULTIARITH,0.391,0.616,0.454,,,0.866,,
ece,SAYCAN,0.097,0.161,0.061,,,0.637,,
ece,SPORT,0.236,0.232,0.228,,,0.234,,
ece,STRATEGYQA,0.313,0.323,0.316,,,0.339,,
ece,SVAMP,0.339,0.539,0.39,,,0.827,,
ece,average,0.325,0.46,0.359,,,0.678,,
brier,ASDIV,0.27,0.435,0.336,,,0.748,,
brier,CLUTRR,0.552,0.645,0.602,,,0.725,,
brier,GSM8K,0.22,0.386,0.285,,,0.795,,
brier,DATE,0.254,0.429,0.325,,,0.761,,
brier,MULTIARITH,0.277,0.484,0.364,,,0.81,,
brier,SAYCAN,0.136,0.158,0.138,,,0.619,,
brier,SPORT,0.244,0.241,0.241,,,0.247,,
brier,STRATEGYQA,0.332,0.334,0.331,,,0.345,,
brier,SVAMP,0.248,0.418,0.318,,,0.758,,
brier,average,0.281,0.392,0.327,,,0.645,,
