Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.386,0.071,0.042,0.052,0.117
ece,CLUTRR,0.557,0.217,0.337,0.518,0.245
ece,GSM8K,0.376,0.037,0.044,0.077,0.045
ece,DATE,0.417,0.133,0.148,0.184,0.143
ece,MULTIARITH,0.449,0.214,0.176,0.144,0.328
ece,SAYCAN,0.15,0.237,0.158,0.391,0.45
ece,SPORT,0.162,0.046,0.039,0.436,0.127
ece,STRATEGYQA,0.244,0.072,0.069,0.266,0.338
ece,SVAMP,0.329,0.043,0.058,0.041,0.083
ece,average,0.341,0.119,0.119,0.234,0.208
brier,ASDIV,0.282,0.144,0.149,0.141,0.192
brier,CLUTRR,0.527,0.248,0.332,0.459,0.259
brier,GSM8K,0.24,0.134,0.132,0.16,0.141
brier,DATE,0.317,0.162,0.156,0.228,0.203
brier,MULTIARITH,0.324,0.145,0.256,0.205,0.299
brier,SAYCAN,0.159,0.264,0.212,0.397,0.451
brier,SPORT,0.214,0.135,0.118,0.444,0.172
brier,STRATEGYQA,0.29,0.183,0.208,0.338,0.366
brier,SVAMP,0.232,0.185,0.181,0.188,0.204
brier,average,0.287,0.178,0.194,0.284,0.254
