Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.189,0.212,0.178,0.209,0.269
ece,CLUTRR,0.351,0.06,0.11,0.293,0.1
ece,GSM8K,0.201,0.097,0.081,0.105,0.098
ece,DATE,0.228,0.043,0.05,0.069,0.074
ece,MULTIARITH,0.24,0.41,0.354,0.356,0.486
ece,SAYCAN,0.115,0.274,0.253,0.353,0.486
ece,SPORT,0.236,0.291,0.367,0.364,0.179
ece,STRATEGYQA,0.259,0.35,0.405,0.288,0.189
ece,SVAMP,0.15,0.171,0.217,0.234,0.237
ece,average,0.219,0.212,0.224,0.252,0.235
brier,ASDIV,0.162,0.203,0.192,0.197,0.265
brier,CLUTRR,0.378,0.197,0.225,0.277,0.195
brier,GSM8K,0.124,0.15,0.142,0.164,0.152
brier,DATE,0.2,0.144,0.143,0.195,0.183
brier,MULTIARITH,0.172,0.275,0.347,0.32,0.439
brier,SAYCAN,0.158,0.304,0.267,0.367,0.502
brier,SPORT,0.265,0.253,0.296,0.394,0.208
brier,STRATEGYQA,0.307,0.335,0.389,0.357,0.298
brier,SVAMP,0.136,0.219,0.235,0.246,0.263
brier,average,0.211,0.231,0.248,0.28,0.278
