Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.227,0.176,0.147,0.143,0.257
ece,CLUTRR,0.454,0.128,0.207,0.408,0.179
ece,GSM8K,0.211,0.096,0.091,0.081,0.09
ece,DATE,0.269,0.054,0.057,0.115,0.092
ece,MULTIARITH,0.272,0.333,0.345,0.318,0.483
ece,SAYCAN,0.106,0.296,0.256,0.41,0.533
ece,SPORT,0.183,0.12,0.178,0.415,0.116
ece,STRATEGYQA,0.231,0.171,0.198,0.226,0.222
ece,SVAMP,0.18,0.159,0.198,0.173,0.239
ece,average,0.237,0.17,0.186,0.254,0.246
brier,ASDIV,0.204,0.177,0.18,0.172,0.256
brier,CLUTRR,0.458,0.214,0.269,0.373,0.222
brier,GSM8K,0.159,0.146,0.147,0.165,0.15
brier,DATE,0.238,0.148,0.145,0.21,0.199
brier,MULTIARITH,0.226,0.221,0.341,0.29,0.426
brier,SAYCAN,0.147,0.326,0.271,0.412,0.525
brier,SPORT,0.226,0.163,0.169,0.423,0.178
brier,STRATEGYQA,0.287,0.23,0.266,0.322,0.314
brier,SVAMP,0.168,0.213,0.226,0.224,0.256
brier,average,0.235,0.204,0.224,0.288,0.281
