,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.212,0.071,0.176,,,0.353,,
ece,CLUTRR,0.06,0.217,0.128,,,0.693,,
ece,GSM8K,0.097,0.037,0.096,,,0.598,,
ece,DATE,0.043,0.133,0.054,,,0.626,,
ece,MULTIARITH,0.41,0.214,0.333,,,0.049,,
ece,SAYCAN,0.274,0.237,0.296,,,0.465,,
ece,SPORT,0.291,0.046,0.12,,,0.11,,
ece,STRATEGYQA,0.35,0.072,0.171,,,0.157,,
ece,SVAMP,0.171,0.043,0.159,,,0.47,,
ece,average,0.212,0.119,0.17,,,0.391,,
brier,ASDIV,0.203,0.144,0.177,,,0.358,,
brier,CLUTRR,0.197,0.248,0.214,,,0.674,,
brier,GSM8K,0.15,0.134,0.146,,,0.535,,
brier,DATE,0.144,0.162,0.148,,,0.571,,
brier,MULTIARITH,0.275,0.145,0.221,,,0.13,,
brier,SAYCAN,0.304,0.264,0.326,,,0.472,,
brier,SPORT,0.253,0.135,0.163,,,0.163,,
brier,STRATEGYQA,0.335,0.183,0.23,,,0.216,,
brier,SVAMP,0.219,0.185,0.213,,,0.456,,
brier,average,0.231,0.178,0.204,,,0.397,,
