,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.178,0.042,0.147,,,0.435,,
ece,CLUTRR,0.11,0.337,0.207,,,0.681,,
ece,GSM8K,0.081,0.044,0.091,,,0.687,,
ece,DATE,0.05,0.148,0.057,,,0.702,,
ece,MULTIARITH,0.354,0.176,0.345,,,0.294,,
ece,SAYCAN,0.253,0.158,0.256,,,0.47,,
ece,SPORT,0.367,0.039,0.178,,,0.099,,
ece,STRATEGYQA,0.405,0.069,0.198,,,0.227,,
ece,SVAMP,0.217,0.058,0.198,,,0.438,,
ece,average,0.224,0.119,0.186,,,0.448,,
brier,ASDIV,0.192,0.149,0.18,,,0.429,,
brier,CLUTRR,0.225,0.332,0.269,,,0.668,,
brier,GSM8K,0.142,0.132,0.147,,,0.639,,
brier,DATE,0.143,0.156,0.145,,,0.671,,
brier,MULTIARITH,0.347,0.256,0.341,,,0.325,,
brier,SAYCAN,0.267,0.212,0.271,,,0.468,,
brier,SPORT,0.296,0.118,0.169,,,0.144,,
brier,STRATEGYQA,0.389,0.208,0.266,,,0.268,,
brier,SVAMP,0.235,0.181,0.226,,,0.435,,
brier,average,0.248,0.194,0.224,,,0.45,,
