,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.269,0.117,0.257,,,0.437,,
ece,CLUTRR,0.1,0.245,0.179,,,0.727,,
ece,GSM8K,0.098,0.045,0.09,,,0.712,,
ece,DATE,0.074,0.143,0.092,,,0.655,,
ece,MULTIARITH,0.486,0.328,0.483,,,0.261,,
ece,SAYCAN,0.486,0.45,0.533,,,0.505,,
ece,SPORT,0.179,0.127,0.116,,,0.22,,
ece,STRATEGYQA,0.189,0.338,0.222,,,0.37,,
ece,SVAMP,0.237,0.083,0.239,,,0.51,,
ece,average,0.235,0.208,0.246,,,0.489,,
brier,ASDIV,0.265,0.192,0.256,,,0.43,,
brier,CLUTRR,0.195,0.259,0.222,,,0.704,,
brier,GSM8K,0.152,0.141,0.15,,,0.659,,
brier,DATE,0.183,0.203,0.199,,,0.646,,
brier,MULTIARITH,0.439,0.299,0.426,,,0.292,,
brier,SAYCAN,0.502,0.451,0.525,,,0.49,,
brier,SPORT,0.208,0.172,0.178,,,0.224,,
brier,STRATEGYQA,0.298,0.366,0.314,,,0.387,,
brier,SVAMP,0.263,0.204,0.256,,,0.499,,
brier,average,0.278,0.254,0.281,,,0.481,,
